"","UMAP1","UMAP2","cl","ct"
"1",-8.39306699880594,10.1867380195457,"Ref","AU565"
"2",-8.40028154500956,10.1623144203025,"Ref","AU565"
"3",-8.89726602682108,9.98302460249245,"Ref","AU565"
"4",-8.55211221822733,10.0780191474754,"Ref","AU565"
"5",-9.0289522374534,9.97842026289285,"Ref","AU565"
"6",-8.32826101430887,10.1855030113059,"Ref","AU565"
"7",-9.0821806157493,9.88118935163796,"Ref","AU565"
"8",-8.63879453786844,10.0893154197532,"Ref","AU565"
"9",-9.11251032003397,9.87455750044167,"Ref","AU565"
"10",-8.64384805807108,10.0618696266013,"Ref","AU565"
"11",-8.27303850301737,10.2374382072288,"Ref","AU565"
"12",-8.59207021841044,10.0596275382835,"Ref","AU565"
"13",-9.05154192098612,9.93637085493386,"Ref","AU565"
"14",-8.62280141958231,10.0697231345969,"Ref","AU565"
"15",-8.90150510915751,9.97614670332253,"Ref","AU565"
"16",-8.97196066030497,9.94233799513161,"Ref","AU565"
"17",-8.25331842550272,10.2319641166526,"Ref","AU565"
"18",-9.00986730703348,9.96799469526589,"Ref","AU565"
"19",-8.32323801168436,10.1901283317405,"Ref","AU565"
"20",-8.70789014944071,10.0173063331443,"Ref","AU565"
"21",-9.08897649892801,9.90611267622292,"Ref","AU565"
"22",-9.02043497213358,9.98343658979714,"Ref","AU565"
"23",-8.97621690877909,9.94357491071999,"Ref","AU565"
"24",-8.96301996358866,9.93546867903054,"Ref","AU565"
"25",-8.23295843252176,10.2240438514549,"Ref","AU565"
"26",-8.89272272237772,10.0233211570579,"Ref","AU565"
"27",-9.0717989171409,9.90070725019753,"Ref","AU565"
"28",-8.7363029683494,10.0232200675803,"Ref","AU565"
"29",-8.54397928365702,10.1095027976829,"Ref","AU565"
"30",-8.98907625326151,9.9823818260032,"Ref","AU565"
"31",-8.4046550954246,10.1600112968284,"Ref","AU565"
"32",-8.89498579153055,10.0370616966087,"Ref","AU565"
"33",-9.02617990621561,9.93981075819314,"Ref","AU565"
"34",-8.95483934530253,9.9586134010154,"Ref","AU565"
"35",-8.4550644124412,10.1226253562766,"Ref","AU565"
"36",-9.09459840902323,9.90498734052956,"Ref","AU565"
"37",-9.07897817739481,9.89921570356667,"Ref","AU565"
"38",-9.05907117971415,9.96891594465554,"Ref","AU565"
"39",-9.00801908620829,9.95246506269753,"Ref","AU565"
"40",-9.14240610250467,9.85249615248025,"Ref","AU565"
"41",-9.04156458028788,9.89450932081521,"Ref","AU565"
"42",-8.77858698019022,10.0056695991355,"Ref","AU565"
"43",-8.87500726827616,9.99695778425515,"Ref","AU565"
"44",-9.05090200551981,9.96039867933572,"Ref","AU565"
"45",-8.49358999380106,10.1098842674094,"Ref","AU565"
"46",-8.45706236013407,10.1367979102927,"Ref","AU565"
"47",-8.90510713705057,10.0246820503074,"Ref","AU565"
"48",-8.62562238821024,10.0702238136131,"Ref","AU565"
"49",-8.29610883840555,10.1766548209983,"Ref","AU565"
"50",-8.68946993001932,10.0294408851463,"Ref","AU565"
"51",-8.77413046010965,10.0237922721702,"Ref","AU565"
"52",-9.11123430379862,9.910784726699,"Ref","AU565"
"53",-8.95873605855936,9.9530849510032,"Ref","AU565"
"54",-8.25753271230692,10.2276935630637,"Ref","AU565"
"55",-9.00262891897196,9.97596550520242,"Ref","AU565"
"56",-8.37463628896708,10.1557388358909,"Ref","AU565"
"57",-9.08443319448465,9.90008736189187,"Ref","AU565"
"58",-8.53745424398417,10.1076879554588,"Ref","AU565"
"59",-9.06204282888407,9.92991257246316,"Ref","AU565"
"60",-8.85542928823465,10.0116081291038,"Ref","AU565"
"61",-8.2552820409202,10.2188186698753,"Ref","AU565"
"62",-8.69075739034647,10.0425643974143,"Ref","AU565"
"63",-8.35423814901346,10.2152109199363,"Ref","AU565"
"64",-8.49211275228495,10.1141490989524,"Ref","AU565"
"65",-8.26645815023417,10.210984235366,"Ref","AU565"
"66",-9.04454481252665,9.92083931501687,"Ref","AU565"
"67",-9.04287302144999,9.92212963636697,"Ref","AU565"
"68",-9.11179887899393,9.91382313307107,"Ref","AU565"
"69",-9.08081209310526,9.88889790113747,"Ref","AU565"
"70",-8.78025686391825,10.0378828101951,"Ref","AU565"
"71",-8.78632318624491,10.0209779792625,"Ref","AU565"
"72",-8.71028291830057,10.0356149726707,"Ref","AU565"
"73",-8.94136678823465,10.0013551765281,"Ref","AU565"
"74",-9.10584985860819,9.87855721052468,"Ref","AU565"
"75",-8.29080545553202,10.2106266074973,"Ref","AU565"
"76",-8.26678144582743,10.2141923957664,"Ref","AU565"
"77",-9.12342226156229,9.86422634657204,"Ref","AU565"
"78",-8.34269201406473,10.1855173164207,"Ref","AU565"
"79",-8.60308515676493,10.0784645133811,"Ref","AU565"
"80",-8.20697939046854,10.2699537330467,"Ref","AU565"
"81",-8.53279745229715,10.0828704887229,"Ref","AU565"
"82",-9.02062761434549,9.91270542677224,"Ref","AU565"
"83",-9.07410204061503,9.91945076521218,"Ref","AU565"
"84",-8.74407350667948,10.0403938346702,"Ref","AU565"
"85",-9.06951200613016,9.89767551954568,"Ref","AU565"
"86",-9.05556165822977,9.92259026106179,"Ref","AU565"
"87",-8.86854707845682,9.99473667677224,"Ref","AU565"
"88",-8.50759374746317,10.086942678054,"Ref","AU565"
