"","sActivity","P","id"
"5-Fluorouracil + Afatinib",-0.0406948653987667,0.404715294117647,NA
"5-Fluorouracil + Alisertib",-0.00383943324184188,0.909327843137255,NA
"5-Fluorouracil + Alpelisib",0.00442902990672357,0.847518431372549,NA
"5-Fluorouracil + Axitinib",-0.0738613359612097,0.0847678431372549,NA
"5-Fluorouracil + AZD6482",0.0288910483207647,0.320538823529412,NA
"5-Fluorouracil + AZD7762",0.137858258287156,0.0178666666666667,"5-Fluorouracil + AZD7762"
"5-Fluorouracil + AZD8055",0.00230617013357852,0.917078431372549,NA
"5-Fluorouracil + BI-2536",0.0036095510750639,0.9288,NA
"5-Fluorouracil + Bortezomib",0.000730904403460185,0.977290196078431,NA
"5-Fluorouracil + Camptothecin",0.000340030949694502,0.978876078431373,NA
"5-Fluorouracil + Cisplatin",0.00226834080446376,0.866345098039216,NA
"5-Fluorouracil + Crizotinib",-0.0725328441631702,0.051801568627451,NA
"5-Fluorouracil + Dabrafenib",-0.0121996495109734,0.669005490196078,NA
"5-Fluorouracil + Docetaxel",-0.0922285456958722,0.0470094117647059,NA
"5-Fluorouracil + Doramapimod",-0.0276057799750993,0.314174901960784,NA
"5-Fluorouracil + Entinostat",-0.0271320073175754,0.417236078431373,NA
"5-Fluorouracil + Gemcitabine",-0.00916731032073345,0.70342431372549,NA
"5-Fluorouracil + GSK269962A",-0.0819390195020466,0.0683129411764706,NA
"5-Fluorouracil + JQ1",0.0166644127086822,0.599730196078431,NA
"5-Fluorouracil + KU-55933",-0.0260417547834597,0.432841568627451,NA
"5-Fluorouracil + Lapatinib",-0.00315541184475611,0.892060392156863,NA
"5-Fluorouracil + Linsitinib",-0.04646396515028,0.101254901960784,NA
"5-Fluorouracil + Luminespib",-0.0130379538681207,0.622527058823529,NA
"5-Fluorouracil + MK-1775",0.0165890918134374,0.594247058823529,NA
"5-Fluorouracil + MK-2206",-0.0621103973510825,0.143429803921569,NA
"5-Fluorouracil + Navitoclax",-0.0144880129905638,0.715978823529412,NA
"5-Fluorouracil + Nilotinib",-0.0153564782309844,0.760902745098039,NA
"5-Fluorouracil + NU7441",-0.0223392930473726,0.551303529411765,NA
"5-Fluorouracil + Nutlin-3a (-)",-0.0470597128317416,0.0957176470588235,NA
"5-Fluorouracil + Olaparib",-0.0290990542062715,0.326029019607843,NA
"5-Fluorouracil + OSI-027",-0.0150388277089856,0.60052862745098,NA
"5-Fluorouracil + Paclitaxel",-1,0.000727058823529412,NA
"5-Fluorouracil + Palbociclib",-0.00932936820643053,0.759273725490196,NA
"5-Fluorouracil + PD173074",-0.0497411984270785,0.218034509803922,NA
"5-Fluorouracil + PF-4708671",0.0230792819539261,0.441428235294118,NA
"5-Fluorouracil + Pictilisib",-0.0551892524589651,0.112100392156863,NA
"5-Fluorouracil + Ribociclib",-0.047239210978515,0.135626666666667,NA
"5-Fluorouracil + RO-3306",-0.00387316656585227,0.828732549019608,NA
"5-Fluorouracil + Sapitinib",-0.00627681822373254,0.783442352941176,NA
"5-Fluorouracil + SB216763",-0.00350534823235782,0.794356078431373,NA
"5-Fluorouracil + SCH772984",-0.0117441815957206,0.641402352941176,NA
"5-Fluorouracil + Sorafenib",-0.0291448246881524,0.537209411764706,NA
"5-Fluorouracil + Taselisib",-0.063057481015586,0.211667450980392,NA
"5-Fluorouracil + Temozolomide",-0.020013101747649,0.316548235294118,NA
"5-Fluorouracil + Tozasertib",-0.114922662896577,0.0139921568627451,NA
"5-Fluorouracil + Trametinib",-0.0171134848065777,0.602890196078431,NA
"5-Fluorouracil + Uprosertib",-0.0146073890872863,0.576176470588235,NA
"5-Fluorouracil + Venetoclax",-0.0176117727121045,0.545809411764706,NA
"5-Fluorouracil + Vorinostat",-0.0669940872999466,0.252583529411765,NA
"5-Fluorouracil + Wee1 Inhibitor",-0.0239086649165822,0.492523921568627,NA
"5-Fluorouracil + ZM447439",-0.205227451605131,0.00459137254901961,NA
"Axitinib + 5-Fluorouracil",-0.00831139942572155,0.687787450980392,NA
"Axitinib + Afatinib",0.0497353532438397,0.309370196078431,NA
"Axitinib + Alisertib",-0.00527427257358451,0.805324705882353,NA
"Axitinib + Alpelisib",0.00821969783435248,0.700417254901961,NA
"Axitinib + AZD6482",0.122645720796611,0.0163160784313726,"Axitinib + AZD6482"
"Axitinib + AZD7762",-0.0540732424682042,0.142623529411765,NA
"Axitinib + AZD8055",0.036982632126407,0.295958431372549,NA
"Axitinib + BI-2536",-0.00398676495023215,0.880977254901961,NA
"Axitinib + Bortezomib",-0.00639600933848962,0.83744,NA
"Axitinib + Camptothecin",0.0293546725733738,0.354573333333333,NA
"Axitinib + Cisplatin",0.000167050844525722,0.992134901960784,NA
"Axitinib + Crizotinib",-0.0157750134276901,0.487894117647059,NA
"Axitinib + Dabrafenib",0.0405220735461689,0.160061176470588,NA
"Axitinib + Docetaxel",-0.0835701658731173,0.0549592156862745,NA
"Axitinib + Doramapimod",-0.0199689597196612,0.445435294117647,NA
"Axitinib + Entinostat",-0.0561780026854087,0.171867450980392,NA
"Axitinib + Gemcitabine",0.0212566490360741,0.50424,NA
"Axitinib + GSK269962A",-0.0414774930194189,0.267636078431373,NA
"Axitinib + JQ1",0.129825544684347,0.0290039215686275,NA
"Axitinib + KU-55933",-0.0384347330658616,0.231254117647059,NA
"Axitinib + Lapatinib",0.0366016357427854,0.364700392156863,NA
