"","sActivity","P","id"
"5-Fluorouracil + Afatinib",-0.223221320701194,0.190512941176471,NA
"5-Fluorouracil + Alisertib",-0.0403630859682919,0.783389019607843,NA
"5-Fluorouracil + Alpelisib",-0.06822224727742,0.587617254901961,NA
"5-Fluorouracil + Axitinib",-0.285857670100285,0.0280039215686275,NA
"5-Fluorouracil + AZD6482",-0.122954456049837,0.295580392156863,NA
"5-Fluorouracil + AZD7762",0.233633710290579,0.157491764705882,NA
"5-Fluorouracil + AZD8055",0.0174383509303458,0.88380862745098,NA
"5-Fluorouracil + BI-2536",0.0113668722059654,0.947898039215686,NA
"5-Fluorouracil + Bortezomib",-0.0717090579156249,0.711445490196078,NA
"5-Fluorouracil + Camptothecin",0.0113160307014885,0.889296470588235,NA
"5-Fluorouracil + Cisplatin",0.0473970169084931,0.557807058823529,NA
"5-Fluorouracil + Crizotinib",-0.238469635469448,0.0734556862745098,NA
"5-Fluorouracil + Dabrafenib",0.0366790774698619,0.769461960784314,NA
"5-Fluorouracil + Docetaxel",-0.461604395499226,0.0138556862745098,NA
"5-Fluorouracil + Doramapimod",-0.0079045657879811,0.936907450980392,NA
"5-Fluorouracil + Entinostat",0.012175590114194,0.921981960784314,NA
"5-Fluorouracil + Gemcitabine",-0.141112696265649,0.299552941176471,NA
"5-Fluorouracil + GSK269962A",-0.251321027233706,0.05384,NA
"5-Fluorouracil + JQ1",-0.229779847557876,0.123927058823529,NA
"5-Fluorouracil + KU-55933",-0.0268006694230464,0.832130980392157,NA
"5-Fluorouracil + Lapatinib",-0.194336184646884,0.220961568627451,NA
"5-Fluorouracil + Linsitinib",-0.123261366650015,0.217074509803922,NA
"5-Fluorouracil + Luminespib",-0.0541970388649656,0.695750588235294,NA
"5-Fluorouracil + MK-1775",-0.053927973797088,0.668321568627451,NA
"5-Fluorouracil + MK-2206",-0.221170123019307,0.107245490196078,NA
"5-Fluorouracil + Navitoclax",-0.0276078557246704,0.851754509803922,NA
"5-Fluorouracil + Nilotinib",0.0406814571964593,0.840683137254902,NA
"5-Fluorouracil + NU7441",0.0224102142298658,0.86965568627451,NA
"5-Fluorouracil + Nutlin-3a (-)",-0.117173080217993,0.167694901960784,NA
"5-Fluorouracil + Olaparib",-0.0815224418912246,0.443969411764706,NA
"5-Fluorouracil + OSI-027",0.0347372672905246,0.759358431372549,NA
"5-Fluorouracil + Paclitaxel",-0.825115642797878,0.00454901960784314,NA
"5-Fluorouracil + Palbociclib",0.0789535883419644,0.553896470588235,NA
"5-Fluorouracil + PD173074",-0.0772239702240255,0.557026666666667,NA
"5-Fluorouracil + PF-4708671",0.0597891233945553,0.661225098039216,NA
"5-Fluorouracil + Pictilisib",-0.24732552115303,0.060078431372549,NA
"5-Fluorouracil + Ribociclib",-0.167532765895811,0.0923764705882353,NA
"5-Fluorouracil + RO-3306",-0.131150087873441,0.242978039215686,NA
"5-Fluorouracil + Sapitinib",0.0129074994785726,0.905610980392157,NA
"5-Fluorouracil + SB216763",-0.0481403554748655,0.544420392156863,NA
"5-Fluorouracil + SCH772984",-0.0371634122213123,0.721594509803922,NA
"5-Fluorouracil + Sorafenib",-0.210613680551532,0.230349019607843,NA
"5-Fluorouracil + Taselisib",-0.24460410037762,0.154362352941176,NA
"5-Fluorouracil + Temozolomide",-0.0407475380723308,0.550777254901961,NA
"5-Fluorouracil + Tozasertib",-0.196365789993667,0.0977788235294118,NA
"5-Fluorouracil + Trametinib",-0.0195260047468776,0.885387450980392,NA
"5-Fluorouracil + Uprosertib",-0.201683262469719,0.13798431372549,NA
"5-Fluorouracil + Venetoclax",0.0196488016652631,0.863461176470588,NA
"5-Fluorouracil + Vorinostat",-0.103261904380545,0.55940862745098,NA
"5-Fluorouracil + Wee1 Inhibitor",0.0137626262106671,0.914178039215686,NA
"5-Fluorouracil + ZM447439",-0.165869443118859,0.235832941176471,NA
"Axitinib + 5-Fluorouracil",-5.55462473697931e-05,0.999217254901961,NA
"Axitinib + Afatinib",0.0267507828899579,0.854914509803922,NA
"Axitinib + Alisertib",-0.0293691136093425,0.805189803921569,NA
"Axitinib + Alpelisib",-0.0335519509692132,0.764829019607843,NA
"Axitinib + AZD6482",0.14241025651924,0.292425098039216,NA
"Axitinib + AZD7762",-0.126014385050218,0.294050196078431,NA
"Axitinib + AZD8055",-0.0677233963408621,0.604832941176471,NA
"Axitinib + BI-2536",-0.0919304618781366,0.578203137254902,NA
"Axitinib + Bortezomib",-0.113648905124543,0.59784862745098,NA
"Axitinib + Camptothecin",0.145760205114173,0.262725490196078,NA
"Axitinib + Cisplatin",0.0936620601773954,0.367131764705882,NA
"Axitinib + Crizotinib",-0.0178710509701367,0.871181176470588,NA
"Axitinib + Dabrafenib",0.0349650976958963,0.70442431372549,NA
"Axitinib + Docetaxel",-0.626395032404307,0.00303686274509804,NA
"Axitinib + Doramapimod",0.0904431219364295,0.467447058823529,NA
"Axitinib + Entinostat",-0.101161137957382,0.383645490196078,NA
"Axitinib + Gemcitabine",-0.0206126557231077,0.865789019607843,NA
"Axitinib + GSK269962A",0.0178915013503176,0.864990588235294,NA
"Axitinib + JQ1",0.156502514241606,0.328820392156863,NA
"Axitinib + KU-55933",-0.0540781556286188,0.556283137254902,NA
"Axitinib + Lapatinib",0.0184065641712997,0.899437647058824,NA
"Axitinib + Linsitinib",0.14901092498941,0.244590588235294,NA
"Axitinib + Luminespib",-0.143985918967846,0.334293333333333,NA
"Axitinib + MK-1775",-0.0714598084232197,0.561696470588235,NA
"Axitinib + MK-2206",-0.10052873786831,0.448627450980392,NA
"Axitinib + Navitoclax",0.184660394618092,0.263479215686275,NA
"Axitinib + Nilotinib",0.256081581581492,0.229599215686275,NA
"Axitinib + NU7441",0.116821938188496,0.432232941176471,NA
"Axitinib + Nutlin-3a (-)",-0.0275330491146615,0.752214117647059,NA
"Axitinib + Olaparib",-0.0683953562596556,0.474445490196078,NA
"Axitinib + OSI-027",-0.0636716764404397,0.584432156862745,NA
"Axitinib + Paclitaxel",-0.644803576874041,0.00683607843137255,NA
"Axitinib + Palbociclib",0.0184752079557385,0.844618039215686,NA
"Axitinib + PD173074",-0.0922741507322706,0.360123137254902,NA
"Axitinib + PF-4708671",0.0254759256988239,0.76554431372549,NA
"Axitinib + Pictilisib",-0.127661153191475,0.315514509803922,NA
"Axitinib + Ribociclib",-0.0319872749360383,0.800600784313725,NA
"Axitinib + RO-3306",0.0160507816459535,0.877412549019608,NA
"Axitinib + Sapitinib",-0.00312400428851766,0.977029019607843,NA
"Axitinib + SB216763",0.0630457078753476,0.525402352941176,NA
"Axitinib + SCH772984",0.179756685169297,0.215505098039216,NA
"Axitinib + Sorafenib",0.162382740120217,0.301164705882353,NA
"Axitinib + Taselisib",-0.144960004622514,0.401870588235294,NA
"Axitinib + Temozolomide",-0.00108694100620933,0.992000784313726,NA
"Axitinib + Tozasertib",-0.00881770285313658,0.943141960784314,NA
"Axitinib + Trametinib",-0.0354058590228762,0.810821960784314,NA
"Axitinib + Uprosertib",0.0506413111079104,0.675345098039216,NA
"Axitinib + Venetoclax",0.00300298622202414,0.970689411764706,NA
"Axitinib + Vorinostat",-0.171262975954515,0.287726274509804,NA
"Axitinib + Wee1 Inhibitor",-0.00801938796259733,0.948656470588235,NA
"Axitinib + ZM447439",0.0253573884604479,0.847030588235294,NA
"AZD7762 + 5-Fluorouracil",0.278335445849859,0.136474509803922,NA
"AZD7762 + Afatinib",-0.039821769381167,0.799069803921569,NA
"AZD7762 + Alisertib",-0.0625198767989388,0.686356862745098,NA
"AZD7762 + Alpelisib",-0.0856111805926304,0.447074509803922,NA
"AZD7762 + Axitinib",-0.213759364024901,0.112842352941176,NA
"AZD7762 + AZD6482",0.0730413086900423,0.564094901960784,NA
"AZD7762 + AZD8055",-0.0677814271241055,0.576654117647059,NA
"AZD7762 + BI-2536",-0.0162166946000085,0.928254901960784,NA
"AZD7762 + Bortezomib",-0.124430913374038,0.562503529411765,NA
"AZD7762 + Camptothecin",0.466405486450112,0.0272047058823529,"AZD7762 + Camptothecin"
"AZD7762 + Cisplatin",0.21514169779783,0.0853317647058824,NA
"AZD7762 + Crizotinib",-0.0617485653087816,0.615093333333333,NA
"AZD7762 + Dabrafenib",-0.00405467114589931,0.966809411764706,NA
"AZD7762 + Docetaxel",-0.198385507519887,0.166876078431373,NA
"AZD7762 + Doramapimod",0.0501812563274007,0.66676,NA
"AZD7762 + Entinostat",-0.0793726542098172,0.517593725490196,NA
"AZD7762 + Gemcitabine",0.401664717215399,0.110420392156863,NA
"AZD7762 + GSK269962A",-0.0688838620555905,0.622817254901961,NA
"AZD7762 + JQ1",-0.11812702635722,0.388290196078431,NA
"AZD7762 + KU-55933",-0.0768018497436744,0.438536470588235,NA
"AZD7762 + Lapatinib",-0.107307481475832,0.495666666666667,NA
"AZD7762 + Linsitinib",-0.039051287954992,0.703605490196078,NA
"AZD7762 + Luminespib",-0.0709337741784548,0.631491764705882,NA
"AZD7762 + MK-1775",0.0264793270718719,0.847821960784314,NA
"AZD7762 + MK-2206",-0.243726055787899,0.108061960784314,NA
"AZD7762 + Navitoclax",-0.111937301258278,0.538852549019608,NA
"AZD7762 + Nilotinib",0.00457795934573112,0.978640784313725,NA
"AZD7762 + NU7441",0.0154827612386997,0.901719215686275,NA
"AZD7762 + Nutlin-3a (-)",-0.100853786838602,0.23189568627451,NA
"AZD7762 + Olaparib",-0.101825501626186,0.261133333333333,NA
"AZD7762 + OSI-027",-0.11195105816531,0.312395294117647,NA
"AZD7762 + Paclitaxel",-0.0521089115700728,0.727863529411765,NA
"AZD7762 + Palbociclib",0.0155280924292222,0.861890196078431,NA
"AZD7762 + PD173074",-0.0811555798146578,0.452601568627451,NA
"AZD7762 + PF-4708671",-0.0117608040298337,0.893997647058824,NA
"AZD7762 + Pictilisib",-0.128023134491369,0.294846274509804,NA
"AZD7762 + Ribociclib",-0.0675554838275996,0.52464,NA
"AZD7762 + RO-3306",-0.00540563032033501,0.959650196078431,NA
"AZD7762 + Sapitinib",-0.157875035452439,0.247756078431373,NA
"AZD7762 + SB216763",0.0227695569172087,0.788103529411765,NA
"AZD7762 + SCH772984",0.0272132693112311,0.799843921568627,NA
"AZD7762 + Sorafenib",0.00224181873931091,0.990439215686274,NA
"AZD7762 + Taselisib",-0.171063725809142,0.266569411764706,NA
"AZD7762 + Temozolomide",-0.0259596670777934,0.736538823529412,NA
"AZD7762 + Tozasertib",-0.00535677408127258,0.964381960784314,NA
"AZD7762 + Trametinib",-0.0648787600806291,0.658025098039216,NA
"AZD7762 + Uprosertib",-0.158997076338573,0.185850980392157,NA
"AZD7762 + Venetoclax",-0.0408200819381687,0.673793725490196,NA
"AZD7762 + Vorinostat",-0.0733855302855329,0.630729411764706,NA
"AZD7762 + Wee1 Inhibitor",0.0471476278854976,0.75777568627451,NA
"AZD7762 + ZM447439",-0.067338115251375,0.678489411764706,NA
"Bortezomib + 5-Fluorouracil",-0.05621692744318,0.59472862745098,NA
"Bortezomib + Afatinib",-0.0139814052177356,0.936136470588235,NA
"Bortezomib + Alisertib",-0.0926472467644048,0.516806274509804,NA
"Bortezomib + Alpelisib",-0.167109669053702,0.12932,NA
"Bortezomib + Axitinib",-0.070396199757056,0.511327058823529,NA
"Bortezomib + AZD6482",0.0571107428174099,0.622012549019608,NA
"Bortezomib + AZD7762",-0.231646447448307,0.0726447058823529,NA
"Bortezomib + AZD8055",-0.251282774024432,0.0718705882352941,NA
"Bortezomib + BI-2536",-0.250594724028499,0.214727058823529,NA
"Bortezomib + Camptothecin",0.164124110853065,0.186650196078431,NA
"Bortezomib + Cisplatin",0.0811141672203772,0.353875294117647,NA
"Bortezomib + Crizotinib",0.0740366759014863,0.591549803921569,NA
"Bortezomib + Dabrafenib",-0.086732004019577,0.338965490196078,NA
"Bortezomib + Docetaxel",-0.330015834809191,0.034241568627451,NA
"Bortezomib + Doramapimod",0.060232553584066,0.629934901960784,NA
"Bortezomib + Entinostat",-0.146005918433801,0.240589019607843,NA
"Bortezomib + Gemcitabine",0.0390728863262012,0.776370196078431,NA
"Bortezomib + GSK269962A",0.0101165719865215,0.92434431372549,NA
"Bortezomib + JQ1",0.161892188170081,0.233416470588235,NA
"Bortezomib + KU-55933",-0.151347334306546,0.0647513725490196,NA
"Bortezomib + Lapatinib",-0.0600587039915183,0.708309803921569,NA
"Bortezomib + Linsitinib",0.0737847764872886,0.512115294117647,NA
"Bortezomib + Luminespib",-0.198631007284726,0.194468235294118,NA
"Bortezomib + MK-1775",-0.16666335478845,0.283773333333333,NA
"Bortezomib + MK-2206",-0.0879961637829605,0.479964705882353,NA
"Bortezomib + Navitoclax",0.0138007299086042,0.939203921568627,NA
"Bortezomib + Nilotinib",-0.251995454976424,0.22173568627451,NA
"Bortezomib + NU7441",-0.0256443453901352,0.845430588235294,NA
"Bortezomib + Nutlin-3a (-)",-0.032584114615592,0.689477647058824,NA
"Bortezomib + Olaparib",-0.139711839279659,0.12236862745098,NA
"Bortezomib + OSI-027",-0.238831876586411,0.0561992156862745,NA
"Bortezomib + Paclitaxel",-0.223732167472216,0.17084,NA
"Bortezomib + Palbociclib",-0.000677285470673989,0.993594509803922,NA
"Bortezomib + PD173074",-0.204733994517595,0.045161568627451,NA
"Bortezomib + PF-4708671",-0.236899655879691,0.0334533333333333,NA
"Bortezomib + Pictilisib",-0.0790442973609095,0.506725490196078,NA
"Bortezomib + Ribociclib",-0.0382066795110036,0.724755294117647,NA
"Bortezomib + RO-3306",0.0556624848776773,0.62051137254902,NA
"Bortezomib + Sapitinib",-0.179388692588532,0.137247058823529,NA
"Bortezomib + SB216763",0.0110560638899773,0.892429019607843,NA
"Bortezomib + SCH772984",0.0371736200050522,0.707522352941176,NA
"Bortezomib + Sorafenib",0.0440810191185563,0.786530980392157,NA
"Bortezomib + Taselisib",-0.0184999060516044,0.887758431372549,NA
"Bortezomib + Temozolomide",-0.0189524178162649,0.81159137254902,NA
"Bortezomib + Tozasertib",0.0804454010317604,0.522345882352941,NA
"Bortezomib + Trametinib",-0.122259383906741,0.356993725490196,NA
"Bortezomib + Uprosertib",-0.00584866794687363,0.956536470588235,NA
"Bortezomib + Venetoclax",-0.0715963841833216,0.364820392156863,NA
"Bortezomib + Vorinostat",-0.104940887805282,0.532516862745098,NA
"Bortezomib + Wee1 Inhibitor",-0.17922811059494,0.255574901960784,NA
"Bortezomib + ZM447439",0.10122428458285,0.503487843137255,NA
"Cisplatin + 5-Fluorouracil",-0.0894614180489997,0.380526274509804,NA
"Cisplatin + Afatinib",-0.0621091449348624,0.730212549019608,NA
"Cisplatin + Alisertib",-0.135803895440057,0.24137568627451,NA
"Cisplatin + Alpelisib",-0.240997975740897,0.0577270588235294,NA
"Cisplatin + Axitinib",-0.22978654016439,0.0522721568627451,NA
"Cisplatin + AZD6482",-0.0112678914462175,0.908720784313725,NA
"Cisplatin + AZD7762",-0.00908447649784097,0.932257254901961,NA
"Cisplatin + AZD8055",-0.426720145020912,0.0131482352941176,NA
"Cisplatin + BI-2536",-0.420494647884645,0.0592909803921569,NA
"Cisplatin + Bortezomib",-0.194299591780014,0.431479215686275,NA
"Cisplatin + Camptothecin",0.0837014516795472,0.446306666666667,NA
"Cisplatin + Crizotinib",-0.125666623996565,0.340540392156863,NA
"Cisplatin + Dabrafenib",-0.133610268771458,0.14112,NA
"Cisplatin + Docetaxel",-0.628031504961897,0.00229725490196078,NA
"Cisplatin + Doramapimod",0.0472852974216081,0.687906666666667,NA
"Cisplatin + Entinostat",-0.203330837675851,0.173981960784314,NA
"Cisplatin + Gemcitabine",0.106974355144337,0.482354509803922,NA
"Cisplatin + GSK269962A",-0.226888455068572,0.0837819607843137,NA
"Cisplatin + JQ1",-0.0484215805595284,0.696517647058824,NA
"Cisplatin + KU-55933",-0.242231275504495,0.00918745098039216,NA
"Cisplatin + Lapatinib",-0.0730896133677544,0.669915294117647,NA
"Cisplatin + Linsitinib",0.0143562303597276,0.866587450980392,NA
"Cisplatin + Luminespib",-0.302580672521383,0.0931333333333333,NA
"Cisplatin + MK-1775",-0.246626368443652,0.153607058823529,NA
"Cisplatin + MK-2206",-0.190661025495357,0.17950431372549,NA
"Cisplatin + Navitoclax",-0.0546404917813604,0.756199215686274,NA
"Cisplatin + Nilotinib",-0.529033341158819,0.0263945098039216,NA
"Cisplatin + NU7441",-0.187849508025443,0.269698823529412,NA
"Cisplatin + Nutlin-3a (-)",-0.079812552527701,0.35774431372549,NA
"Cisplatin + Olaparib",-0.21133290449549,0.0185388235294118,NA
"Cisplatin + OSI-027",-0.331185446210663,0.0201356862745098,NA
"Cisplatin + Paclitaxel",-0.612128515327316,0.00761098039215686,NA
"Cisplatin + Palbociclib",-0.0186785197498071,0.802854901960784,NA
"Cisplatin + PD173074",-0.237473001670891,0.0177796078431373,NA
"Cisplatin + PF-4708671",-0.346802582574042,0.00997411764705882,NA
"Cisplatin + Pictilisib",-0.148878868410451,0.246976470588235,NA
"Cisplatin + Ribociclib",-0.185941481106367,0.0710839215686274,NA
"Cisplatin + RO-3306",-0.00972605628798341,0.920410980392157,NA
"Cisplatin + Sapitinib",-0.246437026055169,0.0483011764705882,NA
"Cisplatin + SB216763",0.00142886483565251,0.984103529411765,NA
"Cisplatin + SCH772984",-0.0235116920553058,0.813995294117647,NA
"Cisplatin + Sorafenib",-0.0443158772437108,0.785703529411765,NA
"Cisplatin + Taselisib",-0.0675803727342783,0.648640784313726,NA
"Cisplatin + Temozolomide",-0.0473606204465364,0.48860862745098,NA
"Cisplatin + Tozasertib",-0.0872600274902003,0.435380392156863,NA
"Cisplatin + Trametinib",-0.146412710752082,0.216334901960784,NA
"Cisplatin + Uprosertib",-0.132567016054848,0.27905568627451,NA
"Cisplatin + Venetoclax",-0.143644452429792,0.06088,NA
"Cisplatin + Vorinostat",-0.180567522080516,0.322539607843137,NA
"Cisplatin + Wee1 Inhibitor",-0.201106848846485,0.278274509803922,NA
"Cisplatin + ZM447439",0.0211197974758269,0.882999215686274,NA
"Crizotinib + 5-Fluorouracil",0.0480062216942023,0.701214117647059,NA
"Crizotinib + Afatinib",-0.216187724408802,0.232668235294118,NA
"Crizotinib + Alisertib",-0.209953064536843,0.134858823529412,NA
"Crizotinib + Alpelisib",-0.0754556850883723,0.518387450980392,NA
"Crizotinib + Axitinib",-0.346361728199186,0.0108211764705882,NA
"Crizotinib + AZD6482",-0.142929867123569,0.219409411764706,NA
"Crizotinib + AZD7762",-0.145288300874185,0.25796862745098,NA
"Crizotinib + AZD8055",-0.0939361825232531,0.450988235294118,NA
"Crizotinib + BI-2536",-0.156396067283706,0.393820392156863,NA
"Crizotinib + Bortezomib",-0.151640510630251,0.541254117647059,NA
"Crizotinib + Camptothecin",-0.0304201062688709,0.748307450980392,NA
"Crizotinib + Cisplatin",0.0320503054212488,0.643977254901961,NA
"Crizotinib + Dabrafenib",-0.014865677668023,0.864196078431373,NA
"Crizotinib + Docetaxel",-0.583635966680467,0.00609254901960784,NA
"Crizotinib + Doramapimod",-0.0155728304655246,0.867383529411765,NA
"Crizotinib + Entinostat",-0.0705251661818541,0.55309568627451,NA
"Crizotinib + Gemcitabine",-0.15412709583585,0.20070431372549,NA
"Crizotinib + GSK269962A",-0.265200758799323,0.0616501960784314,NA
"Crizotinib + JQ1",-0.286527193128835,0.037363137254902,NA
"Crizotinib + KU-55933",-0.0958164055938199,0.317877647058824,NA
"Crizotinib + Lapatinib",-0.161038900812742,0.412818823529412,NA
"Crizotinib + Linsitinib",-0.0561684555239847,0.508277647058824,NA
"Crizotinib + Luminespib",-0.0784484943135547,0.60794431372549,NA
"Crizotinib + MK-1775",-0.21852007101412,0.181894117647059,NA
"Crizotinib + MK-2206",-0.325510237969418,0.023238431372549,NA
"Crizotinib + Navitoclax",0.0182116799906444,0.922798431372549,NA
"Crizotinib + Nilotinib",-0.156098078880518,0.459587450980392,NA
"Crizotinib + NU7441",0.0230636238531492,0.873494117647059,NA
"Crizotinib + Nutlin-3a (-)",-0.139752064858476,0.0703176470588235,NA
"Crizotinib + Olaparib",-0.111776142142015,0.199123137254902,NA
"Crizotinib + OSI-027",-0.0253345652680735,0.812385882352941,NA
"Crizotinib + Paclitaxel",-0.473433373057241,0.0209411764705882,NA
"Crizotinib + Palbociclib",0.0457176305373762,0.652502745098039,NA
"Crizotinib + PD173074",-0.106739381754858,0.305120784313725,NA
"Crizotinib + PF-4708671",-0.0721239143574516,0.457219607843137,NA
