"","sActivity","P","id"
"5-Fluorouracil + Afatinib",-0.164146629899873,0.448880784313725,NA
"5-Fluorouracil + Alisertib",-0.17573440029915,0.412043137254902,NA
"5-Fluorouracil + Alpelisib",-0.0416588872295939,0.787934901960784,NA
"5-Fluorouracil + Axitinib",-0.397749014758196,0.0438698039215686,NA
"5-Fluorouracil + AZD6482",-0.19490312557994,0.22042431372549,NA
"5-Fluorouracil + AZD7762",-0.00885895805208765,0.963836862745098,NA
"5-Fluorouracil + AZD8055",0.10276243070851,0.576505098039216,NA
"5-Fluorouracil + BI-2536",0.132718437775411,0.59600862745098,NA
"5-Fluorouracil + Bortezomib",-0.0647471488266338,0.733030588235294,NA
"5-Fluorouracil + Camptothecin",-0.0411291465465753,0.690010196078431,NA
"5-Fluorouracil + Cisplatin",-0.0130601265393993,0.899737254901961,NA
"5-Fluorouracil + Crizotinib",-0.265531914431608,0.0781772549019608,NA
"5-Fluorouracil + Dabrafenib",0.0953225683300648,0.559318431372549,NA
"5-Fluorouracil + Docetaxel",-0.307808879847977,0.114254117647059,NA
"5-Fluorouracil + Doramapimod",-0.0415089630763932,0.763669019607843,NA
"5-Fluorouracil + Entinostat",0.106482815612871,0.52296862745098,NA
"5-Fluorouracil + Gemcitabine",-0.362951313025486,0.0555356862745098,NA
"5-Fluorouracil + GSK269962A",-0.354670143214032,0.0641286274509804,NA
"5-Fluorouracil + JQ1",-0.619999206167787,0.0219450980392157,NA
"5-Fluorouracil + KU-55933",0.0962250690155165,0.572550588235294,NA
"5-Fluorouracil + Lapatinib",-0.424384693572861,0.0804760784313726,NA
"5-Fluorouracil + Linsitinib",-0.150901881545157,0.230531764705882,NA
"5-Fluorouracil + Luminespib",-0.0586487937603931,0.762900392156863,NA
"5-Fluorouracil + MK-1775",-0.0425145533300324,0.816759215686275,NA
"5-Fluorouracil + MK-2206",-0.0498379820188772,0.773794509803922,NA
"5-Fluorouracil + Navitoclax",0.0993643318363392,0.629654901960784,NA
"5-Fluorouracil + Nilotinib",0.168455413147962,0.579593725490196,NA
"5-Fluorouracil + NU7441",0.00189933731661197,0.992178823529412,NA
"5-Fluorouracil + Nutlin-3a (-)",-0.184939637799618,0.130707450980392,NA
"5-Fluorouracil + Olaparib",-0.0771810311074845,0.607628235294118,NA
"5-Fluorouracil + OSI-027",0.121584833164207,0.399672941176471,NA
"5-Fluorouracil + Paclitaxel",-0.129995576584038,0.489656470588235,NA
"5-Fluorouracil + Palbociclib",0.107497433676249,0.521405490196078,NA
"5-Fluorouracil + PD173074",0.0140082469918994,0.937173333333333,NA
"5-Fluorouracil + PF-4708671",0.106187491594015,0.500794509803922,NA
"5-Fluorouracil + Pictilisib",-0.149222949085828,0.327210196078431,NA
"5-Fluorouracil + Ribociclib",-0.174308189977991,0.192157647058824,NA
"5-Fluorouracil + RO-3306",-0.16462342899747,0.260366274509804,NA
"5-Fluorouracil + Sapitinib",0.168565557878032,0.297293333333333,NA
"5-Fluorouracil + SB216763",-0.0656842601808464,0.453736470588235,NA
"5-Fluorouracil + SCH772984",-0.0105199289670755,0.934796862745098,NA
"5-Fluorouracil + Sorafenib",-0.253601500741848,0.291019607843137,NA
"5-Fluorouracil + Taselisib",-0.429738205881231,0.0914745098039216,NA
"5-Fluorouracil + Temozolomide",-0.080929750642171,0.343838431372549,NA
"5-Fluorouracil + Tozasertib",-0.202550206343153,0.139463529411765,NA
"5-Fluorouracil + Trametinib",-0.0103560549857329,0.942698823529412,NA
"5-Fluorouracil + Uprosertib",-0.38249727027175,0.0711654901960784,NA
"5-Fluorouracil + Venetoclax",0.066319045190256,0.679002352941177,NA
"5-Fluorouracil + Vorinostat",0.0171482877426702,0.941158431372549,NA
"5-Fluorouracil + Wee1 Inhibitor",0.0138731808658372,0.940359215686275,NA
"5-Fluorouracil + ZM447439",-0.206788875437407,0.218072156862745,NA
"Axitinib + 5-Fluorouracil",-0.136344259229832,0.313947450980392,NA
"Axitinib + Afatinib",0.0332233068452683,0.880709803921569,NA
"Axitinib + Alisertib",-0.0763225001901776,0.648447843137255,NA
"Axitinib + Alpelisib",-0.164634870331841,0.289473725490196,NA
"Axitinib + AZD6482",0.0913795977468649,0.545767058823529,NA
"Axitinib + AZD7762",-0.327107119962291,0.0743388235294118,NA
"Axitinib + AZD8055",0.0294030242617008,0.879954509803922,NA
"Axitinib + BI-2536",-0.162377767498866,0.436196078431373,NA
"Axitinib + Bortezomib",-0.119784689500283,0.57882431372549,NA
"Axitinib + Camptothecin",0.126452378199444,0.401212549019608,NA
"Axitinib + Cisplatin",-0.00255626592819494,0.984270588235294,NA
"Axitinib + Crizotinib",0.0953330049491112,0.488872156862745,NA
"Axitinib + Dabrafenib",0.0685922911814574,0.573308235294118,NA
"Axitinib + Docetaxel",-0.651005127640206,0.00153960784313725,NA
"Axitinib + Doramapimod",0.100427164695068,0.514249411764706,NA
"Axitinib + Entinostat",0.0254623523239175,0.876044705882353,NA
"Axitinib + Gemcitabine",-0.00851177978976435,0.960651764705882,NA
"Axitinib + GSK269962A",-0.0243359702529716,0.883068235294118,NA
"Axitinib + JQ1",0.12088393593177,0.569487058823529,NA
"Axitinib + KU-55933",-0.14736904912052,0.264310588235294,NA
"Axitinib + Lapatinib",0.288633719755292,0.236790588235294,NA
"Axitinib + Linsitinib",0.163554231456167,0.315463529411765,NA
"Axitinib + Luminespib",-0.146258733926823,0.415132549019608,NA
"Axitinib + MK-1775",-0.0587421479604476,0.704901960784314,NA
"Axitinib + MK-2206",0.0411548345805419,0.80820862745098,NA
"Axitinib + Navitoclax",0.343245730545963,0.154485490196078,NA
"Axitinib + Nilotinib",0.202248013309155,0.42690431372549,NA
"Axitinib + NU7441",-0.060290727045041,0.75182431372549,NA
"Axitinib + Nutlin-3a (-)",-0.135659742314442,0.312330980392157,NA
"Axitinib + Olaparib",-0.149547562308933,0.222756862745098,NA
"Axitinib + OSI-027",0.065596615171999,0.659387450980392,NA
"Axitinib + Paclitaxel",-0.5151965925632,0.0305450980392157,NA
"Axitinib + Palbociclib",0.0144551902826779,0.916082352941176,NA
"Axitinib + PD173074",-0.107911279420835,0.398839215686275,NA
"Axitinib + PF-4708671",-0.0227024995335674,0.865970980392157,NA
"Axitinib + Pictilisib",-0.0576482988895595,0.677458039215686,NA
"Axitinib + Ribociclib",0.109951657206851,0.565618823529412,NA
"Axitinib + RO-3306",0.108212879948019,0.508747450980392,NA
"Axitinib + Sapitinib",0.0273741660583953,0.845715294117647,NA
"Axitinib + SB216763",0.061269793584744,0.630405490196078,NA
"Axitinib + SCH772984",0.132920408850698,0.428454901960784,NA
"Axitinib + Sorafenib",0.184752791541347,0.362720784313726,NA
"Axitinib + Taselisib",-0.159849898425628,0.445687843137255,NA
"Axitinib + Temozolomide",-0.0231126488328517,0.863594509803922,NA
"Axitinib + Tozasertib",-0.0703897896163168,0.641341960784314,NA
"Axitinib + Trametinib",-0.0661281709792806,0.624090980392157,NA
"Axitinib + Uprosertib",-0.00973297702280496,0.948952941176471,NA
"Axitinib + Venetoclax",-0.0155487450292619,0.912207843137255,NA
"Axitinib + Vorinostat",-0.168761296150685,0.419082352941176,NA
"Axitinib + Wee1 Inhibitor",0.0335060646811104,0.859720784313725,NA
"Axitinib + ZM447439",-0.0508900883929136,0.769189803921569,NA
"AZD7762 + 5-Fluorouracil",0.0983926284341239,0.604527058823529,NA
"AZD7762 + Afatinib",-0.101429206343389,0.62014431372549,NA
"AZD7762 + Alisertib",-0.0990343659632182,0.611574117647059,NA
"AZD7762 + Alpelisib",-0.131732118863015,0.364296470588235,NA
"AZD7762 + Axitinib",-0.245538134940524,0.177454901960784,NA
"AZD7762 + AZD6482",-0.0302649718043148,0.869806274509804,NA
"AZD7762 + AZD8055",-0.108646353722057,0.524543529411765,NA
"AZD7762 + BI-2536",-0.132526167890652,0.608428235294118,NA
"AZD7762 + Bortezomib",-0.226823914069574,0.334310588235294,NA
"AZD7762 + Camptothecin",0.178168980624271,0.222030588235294,NA
"AZD7762 + Cisplatin",0.0242160132082544,0.839414901960784,NA
"AZD7762 + Crizotinib",-0.122770577701424,0.341412549019608,NA
"AZD7762 + Dabrafenib",0.0431125253279378,0.74637568627451,NA
"AZD7762 + Docetaxel",-0.30384405629364,0.119756078431373,NA
"AZD7762 + Doramapimod",0.0385397284155535,0.818312941176471,NA
"AZD7762 + Entinostat",-0.0190327256034968,0.911451764705882,NA
"AZD7762 + Gemcitabine",0.291882090557789,0.284036862745098,NA
"AZD7762 + GSK269962A",-0.0217733747567419,0.901282352941176,NA
"AZD7762 + JQ1",-0.202467794888112,0.318589019607843,NA
"AZD7762 + KU-55933",-0.108484231625129,0.398098823529412,NA
"AZD7762 + Lapatinib",-0.156942709051119,0.394905882352941,NA
"AZD7762 + Linsitinib",-0.0863814609078303,0.519806274509804,NA
"AZD7762 + Luminespib",-0.143897764249795,0.42919137254902,NA
"AZD7762 + MK-1775",0.081491479629504,0.632681568627451,NA
"AZD7762 + MK-2206",-0.19582669333034,0.304482352941176,NA
"AZD7762 + Navitoclax",-0.0229784353794884,0.926154509803922,NA
"AZD7762 + Nilotinib",-0.0115050316705677,0.969320784313725,NA
"AZD7762 + NU7441",-0.105356122808292,0.560085490196078,NA
"AZD7762 + Nutlin-3a (-)",-0.253507338183805,0.0664690196078431,NA
"AZD7762 + Olaparib",-0.110745951096431,0.355633725490196,NA
"AZD7762 + OSI-027",-0.216156705782947,0.180554509803922,NA
"AZD7762 + Paclitaxel",-0.15896459301718,0.456047843137255,NA
"AZD7762 + Palbociclib",-0.0519875319827346,0.684581960784314,NA
"AZD7762 + PD173074",-0.0537502248577461,0.683807058823529,NA
"AZD7762 + PF-4708671",-0.05917624368883,0.640526274509804,NA
"AZD7762 + Pictilisib",-0.298864917969811,0.106323137254902,NA
"AZD7762 + Ribociclib",-0.124559354768381,0.409721568627451,NA
"AZD7762 + RO-3306",-0.0504500066417166,0.726107450980392,NA
"AZD7762 + Sapitinib",-0.122048204583222,0.361100392156863,NA
"AZD7762 + SB216763",-0.0170736638175652,0.886233725490196,NA
"AZD7762 + SCH772984",-0.0124140615595895,0.931659607843137,NA
"AZD7762 + Sorafenib",0.00444677057591808,0.986610980392157,NA
"AZD7762 + Taselisib",-0.397860571831379,0.0852423529411765,NA
"AZD7762 + Temozolomide",-0.0728012786516238,0.463858823529412,NA
"AZD7762 + Tozasertib",-0.0185009140335525,0.913764705882353,NA
"AZD7762 + Trametinib",-0.0630157491494013,0.654726274509804,NA
"AZD7762 + Uprosertib",-0.304460563849784,0.115087843137255,NA
