"","sActivity","P","id"
"5-Fluorouracil + Afatinib",-0.278135159957544,0.219667450980392,NA
"5-Fluorouracil + Alisertib",0.0187157305406247,0.928130980392157,NA
"5-Fluorouracil + Alpelisib",-0.108670510503913,0.498562352941176,NA
"5-Fluorouracil + Axitinib",-0.285224243756168,0.0603050980392157,NA
"5-Fluorouracil + AZD6482",-0.147192638260054,0.350625098039216,NA
"5-Fluorouracil + AZD7762",0.297607233765831,0.131634509803922,NA
"5-Fluorouracil + AZD8055",0.0151930024943673,0.941459607843137,NA
"5-Fluorouracil + BI-2536",-0.0660263364829575,0.802192941176471,NA
"5-Fluorouracil + Bortezomib",-0.14277553892882,0.568940392156863,NA
"5-Fluorouracil + Camptothecin",0.0806705658674041,0.524341176470588,NA
"5-Fluorouracil + Cisplatin",0.0803763010680623,0.43789568627451,NA
"5-Fluorouracil + Crizotinib",-0.264053347816087,0.0924752941176471,NA
"5-Fluorouracil + Dabrafenib",0.0324806203905302,0.837287843137255,NA
"5-Fluorouracil + Docetaxel",-0.54955499535704,0.0149882352941176,NA
"5-Fluorouracil + Doramapimod",0.0285515980778068,0.850569411764706,NA
"5-Fluorouracil + Entinostat",-0.0612460487514437,0.754330980392157,NA
"5-Fluorouracil + Gemcitabine",-0.0771308026106081,0.616180392156863,NA
"5-Fluorouracil + GSK269962A",-0.234703087797308,0.129315294117647,NA
"5-Fluorouracil + JQ1",-0.206693209828774,0.233854117647059,NA
"5-Fluorouracil + KU-55933",-0.0604227716605159,0.746517647058824,NA
"5-Fluorouracil + Lapatinib",-0.197459479917796,0.292853333333333,NA
"5-Fluorouracil + Linsitinib",-0.112950585386478,0.392796078431373,NA
"5-Fluorouracil + Luminespib",-0.0509981485027663,0.790337254901961,NA
"5-Fluorouracil + MK-1775",-0.0900167055371131,0.563459607843137,NA
"5-Fluorouracil + MK-2206",-0.26503572888669,0.128520784313725,NA
"5-Fluorouracil + Navitoclax",-0.0740863922237825,0.729238431372549,NA
"5-Fluorouracil + Nilotinib",0.0477209702471205,0.862392156862745,NA
"5-Fluorouracil + NU7441",0.0800126129557683,0.693076862745098,NA
"5-Fluorouracil + Nutlin-3a (-)",-0.0912769414981409,0.37718431372549,NA
"5-Fluorouracil + Olaparib",-0.0933163903405333,0.478793725490196,NA
"5-Fluorouracil + OSI-027",0.0641641987159082,0.677382745098039,NA
"5-Fluorouracil + Paclitaxel",-0.375346402890126,0.111246274509804,NA
"5-Fluorouracil + Palbociclib",0.0924692354076713,0.572160784313726,NA
"5-Fluorouracil + PD173074",-0.106570010572366,0.521979607843137,NA
"5-Fluorouracil + PF-4708671",0.048291805695929,0.79590431372549,NA
"5-Fluorouracil + Pictilisib",-0.295625196873168,0.0667419607843137,NA
"5-Fluorouracil + Ribociclib",-0.185120027074487,0.112825882352941,NA
"5-Fluorouracil + RO-3306",-0.136359339587378,0.344327843137255,NA
"5-Fluorouracil + Sapitinib",-0.0252323782360005,0.881174901960784,NA
"5-Fluorouracil + SB216763",-0.0544302921373341,0.600429019607843,NA
"5-Fluorouracil + SCH772984",-0.0160376167958809,0.914080784313726,NA
"5-Fluorouracil + Sorafenib",-0.244963050801436,0.271755294117647,NA
"5-Fluorouracil + Taselisib",-0.248397027296657,0.251210980392157,NA
"5-Fluorouracil + Temozolomide",-0.0372608354055498,0.645989019607843,NA
"5-Fluorouracil + Tozasertib",-0.104974049722185,0.425254117647059,NA
"5-Fluorouracil + Trametinib",-0.0184700259515959,0.929729411764706,NA
"5-Fluorouracil + Uprosertib",-0.162597640487324,0.33800862745098,NA
"5-Fluorouracil + Venetoclax",0.000876147371596068,0.993603921568627,NA
"5-Fluorouracil + Vorinostat",-0.134357016637233,0.550203921568627,NA
"5-Fluorouracil + Wee1 Inhibitor",0.0327782806487621,0.860070588235294,NA
"5-Fluorouracil + ZM447439",0.0220087117114491,0.8936,NA
"Axitinib + 5-Fluorouracil",0.0747372710730139,0.60359137254902,NA
"Axitinib + Afatinib",-0.0224489612784782,0.923494901960784,NA
"Axitinib + Alisertib",0.0180072033239932,0.918749803921569,NA
"Axitinib + Alpelisib",-0.0250777866769515,0.867120784313726,NA
"Axitinib + AZD6482",0.0728614109632384,0.662425098039216,NA
"Axitinib + AZD7762",-0.0513969931653756,0.724487058823529,NA
"Axitinib + AZD8055",-0.196678787058762,0.295166274509804,NA
"Axitinib + BI-2536",-0.0780352610907333,0.733967843137255,NA
"Axitinib + Bortezomib",-0.182346414260931,0.500171764705882,NA
"Axitinib + Camptothecin",0.191805989112396,0.266217254901961,NA
"Axitinib + Cisplatin",0.142603747196329,0.316280784313725,NA
"Axitinib + Crizotinib",-0.0403031379290299,0.809940392156863,NA
