"","sActivity","P","id"
"5-Fluorouracil + Afatinib",-0.0737049068890153,0.183061176470588,NA
"5-Fluorouracil + Alisertib",-0.0115283072017259,0.794341176470588,NA
"5-Fluorouracil + Alpelisib",-0.013362372680702,0.703358431372549,NA
"5-Fluorouracil + Axitinib",-0.0963218914668235,0.0359937254901961,NA
"5-Fluorouracil + AZD6482",-0.0210265895838967,0.520003137254902,NA
"5-Fluorouracil + AZD7762",0.122312172049678,0.0553882352941176,NA
"5-Fluorouracil + AZD8055",-0.0149459771395796,0.686946666666667,NA
"5-Fluorouracil + BI-2536",0.00783556616660016,0.880050196078431,NA
"5-Fluorouracil + Bortezomib",0.000411541137782881,0.990676862745098,NA
"5-Fluorouracil + Camptothecin",-0.03455864261724,0.276171764705882,NA
"5-Fluorouracil + Cisplatin",0.00474406425114797,0.82215137254902,NA
"5-Fluorouracil + Crizotinib",-0.0754888472972723,0.0976203921568627,NA
"5-Fluorouracil + Dabrafenib",0.00144020245808039,0.971137254901961,NA
"5-Fluorouracil + Docetaxel",-0.138007219569689,0.0219827450980392,NA
"5-Fluorouracil + Doramapimod",-0.0280964550023291,0.397629803921569,NA
"5-Fluorouracil + Entinostat",0.0227305856945154,0.576007843137255,NA
"5-Fluorouracil + Gemcitabine",-0.0424451420966735,0.319435294117647,NA
"5-Fluorouracil + GSK269962A",-0.0971004802761823,0.0460023529411765,NA
"5-Fluorouracil + JQ1",0.000751776350521999,0.983609411764706,NA
"5-Fluorouracil + KU-55933",-0.0285958092276115,0.481270588235294,NA
"5-Fluorouracil + Lapatinib",-0.0364403435096714,0.414872156862745,NA
"5-Fluorouracil + Linsitinib",-0.0591770141916683,0.107665098039216,NA
"5-Fluorouracil + Luminespib",-0.0268893428608764,0.517662745098039,NA
"5-Fluorouracil + MK-1775",0.00212941082061641,0.948266666666667,NA
"5-Fluorouracil + MK-2206",-0.113044039461738,0.0429372549019608,NA
"5-Fluorouracil + Navitoclax",-0.0141628685882296,0.766852549019608,NA
"5-Fluorouracil + Nilotinib",-0.0221772234251693,0.7174,NA
"5-Fluorouracil + NU7441",-0.0302106313622659,0.514462745098039,NA
"5-Fluorouracil + Nutlin-3a (-)",-0.0497200003646008,0.0999929411764706,NA
"5-Fluorouracil + Olaparib",-0.0316204303493728,0.342822745098039,NA
"5-Fluorouracil + OSI-027",-0.030497255272572,0.400738039215686,NA
"5-Fluorouracil + Paclitaxel",-1,0.000782745098039216,NA
"5-Fluorouracil + Palbociclib",0.0146660405321919,0.694818039215686,NA
"5-Fluorouracil + PD173074",-0.0385803561801824,0.35388862745098,NA
"5-Fluorouracil + PF-4708671",0.0201111514650223,0.614621176470588,NA
"5-Fluorouracil + Pictilisib",-0.0922318536350808,0.0514062745098039,NA
"5-Fluorouracil + Ribociclib",-0.0696355617858821,0.0593090196078431,NA
"5-Fluorouracil + RO-3306",-0.0561488863572233,0.137567843137255,NA
"5-Fluorouracil + Sapitinib",-0.0156937031848612,0.664185882352941,NA
"5-Fluorouracil + SB216763",-0.0119670674558538,0.597285490196078,NA
