"","Combination","Subtype","Activity"
"1","5-Fluorouracil + Afatinib","ER+",-0.164146629899873
"2","5-Fluorouracil + Alisertib","ER+",-0.17573440029915
"3","5-Fluorouracil + Alpelisib","ER+",-0.0416588872295939
"4","5-Fluorouracil + Axitinib","ER+",-0.397749014758196
"5","5-Fluorouracil + AZD6482","ER+",-0.19490312557994
"6","5-Fluorouracil + AZD7762","ER+",-0.00885895805208765
"7","5-Fluorouracil + AZD8055","ER+",0.10276243070851
"8","5-Fluorouracil + BI-2536","ER+",0.132718437775411
"9","5-Fluorouracil + Bortezomib","ER+",-0.0647471488266338
"10","5-Fluorouracil + Camptothecin","ER+",-0.0411291465465753
"11","5-Fluorouracil + Cisplatin","ER+",-0.0130601265393993
"12","5-Fluorouracil + Crizotinib","ER+",-0.265531914431608
"13","5-Fluorouracil + Dabrafenib","ER+",0.0953225683300648
"14","5-Fluorouracil + Docetaxel","ER+",-0.307808879847977
"15","5-Fluorouracil + Doramapimod","ER+",-0.0415089630763932
"16","5-Fluorouracil + Entinostat","ER+",0.106482815612871
"17","5-Fluorouracil + Gemcitabine","ER+",-0.362951313025486
"18","5-Fluorouracil + GSK269962A","ER+",-0.354670143214032
"19","5-Fluorouracil + JQ1","ER+",-0.619999206167787
"20","5-Fluorouracil + KU-55933","ER+",0.0962250690155165
"21","5-Fluorouracil + Lapatinib","ER+",-0.424384693572861
"22","5-Fluorouracil + Linsitinib","ER+",-0.150901881545157
"23","5-Fluorouracil + Luminespib","ER+",-0.0586487937603931
"24","5-Fluorouracil + MK-1775","ER+",-0.0425145533300324
"25","5-Fluorouracil + MK-2206","ER+",-0.0498379820188772
"26","5-Fluorouracil + Navitoclax","ER+",0.0993643318363392
"27","5-Fluorouracil + Nilotinib","ER+",0.168455413147962
"28","5-Fluorouracil + NU7441","ER+",0.00189933731661197
"29","5-Fluorouracil + Nutlin-3a (-)","ER+",-0.184939637799618
"30","5-Fluorouracil + Olaparib","ER+",-0.0771810311074845
"31","5-Fluorouracil + OSI-027","ER+",0.121584833164207
"32","5-Fluorouracil + Paclitaxel","ER+",-0.129995576584038
"33","5-Fluorouracil + Palbociclib","ER+",0.107497433676249
"34","5-Fluorouracil + PD173074","ER+",0.0140082469918994
"35","5-Fluorouracil + PF-4708671","ER+",0.106187491594015
"36","5-Fluorouracil + Pictilisib","ER+",-0.149222949085828
"37","5-Fluorouracil + Ribociclib","ER+",-0.174308189977991
"38","5-Fluorouracil + RO-3306","ER+",-0.16462342899747
"39","5-Fluorouracil + Sapitinib","ER+",0.168565557878032
"40","5-Fluorouracil + SB216763","ER+",-0.0656842601808464
"41","5-Fluorouracil + SCH772984","ER+",-0.0105199289670755
"42","5-Fluorouracil + Sorafenib","ER+",-0.253601500741848
"43","5-Fluorouracil + Taselisib","ER+",-0.429738205881231
"44","5-Fluorouracil + Temozolomide","ER+",-0.080929750642171
"45","5-Fluorouracil + Tozasertib","ER+",-0.202550206343153
"46","5-Fluorouracil + Trametinib","ER+",-0.0103560549857329
"47","5-Fluorouracil + Uprosertib","ER+",-0.38249727027175
"48","5-Fluorouracil + Venetoclax","ER+",0.066319045190256
"49","5-Fluorouracil + Vorinostat","ER+",0.0171482877426702
"50","5-Fluorouracil + Wee1 Inhibitor","ER+",0.0138731808658372
"51","5-Fluorouracil + ZM447439","ER+",-0.206788875437407
"52","Axitinib + 5-Fluorouracil","ER+",-0.136344259229832
"53","Axitinib + Afatinib","ER+",0.0332233068452683
"54","Axitinib + Alisertib","ER+",-0.0763225001901776
"55","Axitinib + Alpelisib","ER+",-0.164634870331841
"56","Axitinib + AZD6482","ER+",0.0913795977468649
"57","Axitinib + AZD7762","ER+",-0.327107119962291
"58","Axitinib + AZD8055","ER+",0.0294030242617008
"59","Axitinib + BI-2536","ER+",-0.162377767498866
"60","Axitinib + Bortezomib","ER+",-0.119784689500283
"61","Axitinib + Camptothecin","ER+",0.126452378199444
"62","Axitinib + Cisplatin","ER+",-0.00255626592819494
"63","Axitinib + Crizotinib","ER+",0.0953330049491112
"64","Axitinib + Dabrafenib","ER+",0.0685922911814574
"65","Axitinib + Docetaxel","ER+",-0.651005127640206
"66","Axitinib + Doramapimod","ER+",0.100427164695068
"67","Axitinib + Entinostat","ER+",0.0254623523239175
"68","Axitinib + Gemcitabine","ER+",-0.00851177978976435
"69","Axitinib + GSK269962A","ER+",-0.0243359702529716
