"","sActivity","P","id"
"5-Fluorouracil + Afatinib",-0.0738395809639823,0.695182745098039,NA
"5-Fluorouracil + Alisertib",-0.152682537397506,0.458613333333333,NA
"5-Fluorouracil + Alpelisib",0.0510506029248436,0.779746666666667,NA
"5-Fluorouracil + Axitinib",-0.521777428890275,0.0213341176470588,NA
"5-Fluorouracil + AZD6482",-0.162535800406489,0.228127058823529,NA
"5-Fluorouracil + AZD7762",0.464162161621954,0.08176,NA
"5-Fluorouracil + AZD8055",-0.0162718020908787,0.933419607843137,NA
"5-Fluorouracil + BI-2536",-0.0265323175726194,0.919222745098039,NA
"5-Fluorouracil + Bortezomib",0.0483283677066601,0.843988235294118,NA
"5-Fluorouracil + Camptothecin",-0.0632016475945278,0.629178039215686,NA
"5-Fluorouracil + Cisplatin",0.00207058151542053,0.980312941176471,NA
"5-Fluorouracil + Crizotinib",-0.393911399133548,0.0613764705882353,NA
"5-Fluorouracil + Dabrafenib",0.122152731655969,0.442263529411765,NA
"5-Fluorouracil + Docetaxel",-0.381731297423658,0.101451764705882,NA
"5-Fluorouracil + Doramapimod",-0.030400872044262,0.879213333333333,NA
"5-Fluorouracil + Entinostat",0.0851476474058295,0.574778039215686,NA
"5-Fluorouracil + Gemcitabine",-0.243952088504674,0.182835294117647,NA
"5-Fluorouracil + GSK269962A",-0.305737723338923,0.0747058823529412,NA
"5-Fluorouracil + JQ1",-0.188101140069475,0.327982745098039,NA
"5-Fluorouracil + KU-55933",0.163031002446496,0.335778039215686,NA
"5-Fluorouracil + Lapatinib",-0.356913532963555,0.0849098039215686,NA
"5-Fluorouracil + Linsitinib",-0.0748342157780114,0.546538039215686,NA
"5-Fluorouracil + Luminespib",-0.0865405617323469,0.691961568627451,NA
"5-Fluorouracil + MK-1775",0.0350032499713115,0.867459607843137,NA
"5-Fluorouracil + MK-2206",-0.199765288683181,0.247000784313725,NA
"5-Fluorouracil + Navitoclax",0.167602280248398,0.436702745098039,NA
"5-Fluorouracil + Nilotinib",0.140437138942415,0.596117647058824,NA
"5-Fluorouracil + NU7441",0.0561757350898114,0.790043921568627,NA
"5-Fluorouracil + Nutlin-3a (-)",-0.0905562489830377,0.472713725490196,NA
"5-Fluorouracil + Olaparib",-0.124595697115751,0.421085490196078,NA
"5-Fluorouracil + OSI-027",0.0789196083570748,0.668378823529412,NA
"5-Fluorouracil + Paclitaxel",-0.312093607830336,0.201578823529412,NA
"5-Fluorouracil + Palbociclib",0.128361877375064,0.585832941176471,NA
"5-Fluorouracil + PD173074",0.195195366976424,0.413942745098039,NA
"5-Fluorouracil + PF-4708671",0.143929801679662,0.393780392156863,NA
"5-Fluorouracil + Pictilisib",-0.143434337349478,0.338200784313725,NA
"5-Fluorouracil + Ribociclib",-0.165745184904736,0.209312156862745,NA
"5-Fluorouracil + RO-3306",-0.0945951630382117,0.534028235294118,NA
"5-Fluorouracil + Sapitinib",0.15949173760796,0.320892549019608,NA
"5-Fluorouracil + SB216763",-0.0643514370514549,0.48379137254902,NA
"5-Fluorouracil + SCH772984",-0.0995512881141827,0.416326274509804,NA
"5-Fluorouracil + Sorafenib",-0.153057793031389,0.461680784313726,NA
"5-Fluorouracil + Taselisib",-0.265075081509569,0.210868235294118,NA
"5-Fluorouracil + Temozolomide",-0.0237971971639539,0.793952156862745,NA
"5-Fluorouracil + Tozasertib",-0.319449870004737,0.036998431372549,NA
"5-Fluorouracil + Trametinib",-0.0653830255735778,0.720250196078431,NA
"5-Fluorouracil + Uprosertib",-0.131285266779716,0.36490431372549,NA
"5-Fluorouracil + Venetoclax",0.256859017552218,0.224962352941176,NA
"5-Fluorouracil + Vorinostat",-0.190271682591669,0.43984,NA
"5-Fluorouracil + Wee1 Inhibitor",0.0755854147770001,0.699183529411765,NA
"5-Fluorouracil + ZM447439",-0.168226920771733,0.250154509803922,NA
"Axitinib + 5-Fluorouracil",-0.199572214731528,0.181298823529412,NA
"Axitinib + Afatinib",0.138332291566746,0.471131764705882,NA
"Axitinib + Alisertib",-0.0825549968050961,0.578643137254902,NA
"Axitinib + Alpelisib",0.210942733813206,0.18516862745098,NA
"Axitinib + AZD6482",0.27426933252727,0.131379607843137,NA
"Axitinib + AZD7762",-0.257477503926603,0.0982729411764706,NA
"Axitinib + AZD8055",0.20618949077392,0.316170980392157,NA
"Axitinib + BI-2536",-0.0896348889799191,0.661387450980392,NA
"Axitinib + Bortezomib",-0.180614531625176,0.41472,NA
"Axitinib + Camptothecin",0.158956358811673,0.382774117647059,NA
"Axitinib + Cisplatin",0.0978718743104308,0.469611764705882,NA
"Axitinib + Crizotinib",-0.127240935618483,0.428101960784314,NA
"Axitinib + Dabrafenib",0.149303152151447,0.336576470588235,NA
"Axitinib + Docetaxel",-0.723850062847561,0.00383764705882353,NA
"Axitinib + Doramapimod",0.172134657776378,0.356240784313725,NA
"Axitinib + Entinostat",0.0606948215765707,0.675298823529412,NA
"Axitinib + Gemcitabine",0.0302628955331836,0.861974901960784,NA
"Axitinib + GSK269962A",0.0816100983669588,0.612689411764706,NA
"Axitinib + JQ1",0.356145730216596,0.162510588235294,NA
"Axitinib + KU-55933",-0.00707092896039892,0.954501176470588,NA
"Axitinib + Lapatinib",0.107398196588342,0.643204705882353,NA
"Axitinib + Linsitinib",0.167647425156083,0.354687843137255,NA
"Axitinib + Luminespib",-0.211836913054439,0.22892,NA
"Axitinib + MK-1775",-0.361109011385143,0.0629717647058824,NA
"Axitinib + MK-2206",0.146894674629009,0.455434509803922,NA
"Axitinib + Navitoclax",0.42312163892324,0.0684572549019608,NA
"Axitinib + Nilotinib",0.162130504146765,0.412428235294118,NA
"Axitinib + NU7441",0.126233344212713,0.548910588235294,NA
"Axitinib + Nutlin-3a (-)",-0.0345118745266616,0.791609411764706,NA
"Axitinib + Olaparib",-0.107397390496246,0.368860392156863,NA
"Axitinib + OSI-027",0.095049356402712,0.570813333333333,NA
"Axitinib + Paclitaxel",-0.640514573433539,0.0157560784313725,NA
"Axitinib + Palbociclib",-0.0968196956113935,0.37279137254902,NA
"Axitinib + PD173074",-0.0283075080824665,0.872171764705882,NA
"Axitinib + PF-4708671",0.101642301819039,0.465623529411765,NA
"Axitinib + Pictilisib",0.0879812536824527,0.555165490196078,NA
"Axitinib + Ribociclib",0.153293171662856,0.50028,NA
"Axitinib + RO-3306",0.0639660865114226,0.702287843137255,NA
"Axitinib + Sapitinib",0.088739760384539,0.544949803921569,NA
"Axitinib + SB216763",0.0650799798671781,0.681603137254902,NA
"Axitinib + SCH772984",0.155193919123128,0.398421960784314,NA
"Axitinib + Sorafenib",0.0883339905441145,0.605632941176471,NA
"Axitinib + Taselisib",0.137226941997209,0.554401568627451,NA
"Axitinib + Temozolomide",0.0536081005536843,0.725759215686275,NA
"Axitinib + Tozasertib",-0.168124270036264,0.379639215686275,NA
"Axitinib + Trametinib",-0.246149241054687,0.104637647058824,NA
"Axitinib + Uprosertib",0.178129816007902,0.221039215686275,NA
"Axitinib + Venetoclax",0.175314422078019,0.298894117647059,NA
"Axitinib + Vorinostat",-0.0369025941983564,0.854945098039216,NA
"Axitinib + Wee1 Inhibitor",-0.0517369007497175,0.7712,NA
"Axitinib + ZM447439",0.0184471680523128,0.91683137254902,NA
"AZD7762 + 5-Fluorouracil",0.380416440573149,0.103862745098039,NA
"AZD7762 + Afatinib",0.0389615868185192,0.848814901960784,NA
"AZD7762 + Alisertib",-0.111394776712121,0.599994509803922,NA
"AZD7762 + Alpelisib",0.0867242253740735,0.59372,NA
"AZD7762 + Axitinib",-0.200674181583265,0.247778823529412,NA
"AZD7762 + AZD6482",0.0706466596333004,0.680853333333333,NA
"AZD7762 + AZD8055",-0.0819529011719848,0.683150588235294,NA
"AZD7762 + BI-2536",-0.0589192223787245,0.796310588235294,NA
"AZD7762 + Bortezomib",-0.173404253533077,0.486153725490196,NA
"AZD7762 + Camptothecin",0.555185909566828,0.0165505882352941,NA
"AZD7762 + Cisplatin",0.277444288995683,0.0731537254901961,NA
"AZD7762 + Crizotinib",-0.1913574270892,0.292571764705882,NA
"AZD7762 + Dabrafenib",0.0594470532436997,0.655102745098039,NA
"AZD7762 + Docetaxel",-0.315628448555068,0.0919819607843137,NA
"AZD7762 + Doramapimod",0.130638213666568,0.497118431372549,NA
"AZD7762 + Entinostat",-0.0301399980216192,0.822247843137255,NA
"AZD7762 + Gemcitabine",0.346174156488022,0.235260392156863,NA
"AZD7762 + GSK269962A",-0.089568445212812,0.580246274509804,NA
"AZD7762 + JQ1",0.0356489993359482,0.844742745098039,NA
"AZD7762 + KU-55933",0.074914289880761,0.622029803921569,NA
"AZD7762 + Lapatinib",-0.138423646861522,0.511281568627451,NA
"AZD7762 + Linsitinib",-0.0453761461066172,0.739114509803922,NA
"AZD7762 + Luminespib",-0.153743951330114,0.369653333333333,NA
"AZD7762 + MK-1775",0.213799658472688,0.355451764705882,NA
"AZD7762 + MK-2206",-0.0737263961383501,0.67773568627451,NA
