"","sActivity","P","id"
"5-Fluorouracil + Afatinib",-0.351436421528615,0.0728705882352941,NA
"5-Fluorouracil + Alisertib",-0.0237371489015027,0.879632941176471,NA
"5-Fluorouracil + Alpelisib",0.0755018554493461,0.606797647058824,NA
"5-Fluorouracil + Axitinib",-0.342362436703901,0.0242847058823529,NA
"5-Fluorouracil + AZD6482",-0.199914084885947,0.175447058823529,NA
"5-Fluorouracil + AZD7762",0.260291414044867,0.183996078431373,NA
"5-Fluorouracil + AZD8055",-0.0314871615938972,0.809229019607843,NA
"5-Fluorouracil + BI-2536",-0.109807140432996,0.595789803921569,NA
"5-Fluorouracil + Bortezomib",0.00670488561600119,0.970018039215686,NA
"5-Fluorouracil + Camptothecin",-0.210470121058334,0.108832156862745,NA
"5-Fluorouracil + Cisplatin",-0.0546920406850152,0.535530980392157,NA
"5-Fluorouracil + Crizotinib",-0.344951164047735,0.0705780392156863,NA
"5-Fluorouracil + Dabrafenib",0.103037217897663,0.498043137254902,NA
"5-Fluorouracil + Docetaxel",-0.227403375165981,0.211600784313726,NA
"5-Fluorouracil + Doramapimod",0.00858832209370972,0.922845490196078,NA
"5-Fluorouracil + Entinostat",0.171703179607993,0.302461960784314,NA
"5-Fluorouracil + Gemcitabine",-0.221333373532184,0.256449411764706,NA
"5-Fluorouracil + GSK269962A",-0.29060592425548,0.0720996078431373,NA
"5-Fluorouracil + JQ1",-0.205167503778583,0.199717647058824,NA
"5-Fluorouracil + KU-55933",0.0275452918758082,0.831303529411765,NA
"5-Fluorouracil + Lapatinib",-0.217729564556009,0.233553725490196,NA
"5-Fluorouracil + Linsitinib",-0.124476191479496,0.255683137254902,NA
"5-Fluorouracil + Luminespib",-0.114037527243909,0.494105882352941,NA
"5-Fluorouracil + MK-1775",0.0534770966288213,0.728654901960784,NA
"5-Fluorouracil + MK-2206",-0.316497207720243,0.0462917647058824,NA
"5-Fluorouracil + Navitoclax",-0.105287994738447,0.583229019607843,NA
"5-Fluorouracil + Nilotinib",0.100896512051078,0.66105568627451,NA
"5-Fluorouracil + NU7441",-0.0549754301541276,0.686131764705882,NA
"5-Fluorouracil + Nutlin-3a (-)",-0.0793950430373677,0.361435294117647,NA
"5-Fluorouracil + Olaparib",-0.0976996557702766,0.446981176470588,NA
"5-Fluorouracil + OSI-027",-0.0728552766805096,0.591057254901961,NA
"5-Fluorouracil + Paclitaxel",-0.68832501454575,0.00872313725490196,NA
"5-Fluorouracil + Palbociclib",0.167700768106288,0.31499137254902,NA
"5-Fluorouracil + PD173074",0.0758557055113437,0.627281568627451,NA
"5-Fluorouracil + PF-4708671",0.0102734394056661,0.940145098039216,NA
"5-Fluorouracil + Pictilisib",-0.331488274834698,0.0368180392156863,NA
"5-Fluorouracil + Ribociclib",-0.121708036443396,0.222526274509804,NA
"5-Fluorouracil + RO-3306",-0.235827677170443,0.1096,NA
"5-Fluorouracil + Sapitinib",-0.0516565895294108,0.744336470588235,NA
"5-Fluorouracil + SB216763",-0.0342247560615427,0.677563921568627,NA
"5-Fluorouracil + SCH772984",-0.237557813817372,0.111985098039216,NA
"5-Fluorouracil + Sorafenib",-0.189634621542894,0.307896470588235,NA
"5-Fluorouracil + Taselisib",-0.31838703222443,0.0979254901960784,NA
"5-Fluorouracil + Temozolomide",-0.0168126930603982,0.828118431372549,NA
"5-Fluorouracil + Tozasertib",-0.300997359080987,0.0681741176470588,NA
"5-Fluorouracil + Trametinib",-0.0913617904003072,0.663459607843137,NA
"5-Fluorouracil + Uprosertib",-0.203139430847439,0.156549019607843,NA
"5-Fluorouracil + Venetoclax",0.0666294746694937,0.615468235294118,NA
"5-Fluorouracil + Vorinostat",0.0582396773459604,0.738034509803922,NA
"5-Fluorouracil + Wee1 Inhibitor",0.0700688342392624,0.668967843137255,NA
"5-Fluorouracil + ZM447439",-0.314802120653177,0.104115294117647,NA
"Axitinib + 5-Fluorouracil",-0.107249093502838,0.371782745098039,NA
"Axitinib + Afatinib",0.227684212180685,0.238287058823529,NA
"Axitinib + Alisertib",-0.193756053438806,0.197339607843137,NA
"Axitinib + Alpelisib",-0.0122003187222556,0.911829803921569,NA
"Axitinib + AZD6482",0.186203676808126,0.27445568627451,NA
"Axitinib + AZD7762",-0.0846893313787375,0.538698039215686,NA
"Axitinib + AZD8055",-0.0285942187606459,0.828913725490196,NA
"Axitinib + BI-2536",-0.207511684212754,0.308698823529412,NA
"Axitinib + Bortezomib",-0.0694050594105653,0.796677647058823,NA
"Axitinib + Camptothecin",-0.0962919213099795,0.464330196078431,NA
"Axitinib + Cisplatin",0.0614792222525192,0.570681568627451,NA
"Axitinib + Crizotinib",-0.0780906475013943,0.616243921568628,NA
"Axitinib + Dabrafenib",0.102348759478037,0.396734117647059,NA
"Axitinib + Docetaxel",-0.730206192527343,0.00313019607843137,NA
"Axitinib + Doramapimod",0.0957355726515053,0.498839215686274,NA
"Axitinib + Entinostat",-0.0990575740947378,0.399822745098039,NA
"Axitinib + Gemcitabine",-0.140415143283915,0.441607058823529,NA
"Axitinib + GSK269962A",-0.0600845194761239,0.646743529411765,NA
"Axitinib + JQ1",0.144938789293055,0.413221960784314,NA
"Axitinib + KU-55933",-0.109084341741683,0.311909803921569,NA
"Axitinib + Lapatinib",0.171081425948492,0.362237647058824,NA
"Axitinib + Linsitinib",0.0530493603445978,0.682201568627451,NA
"Axitinib + Luminespib",-0.181887711015167,0.290741176470588,NA
"Axitinib + MK-1775",-0.135561345629568,0.360623529411765,NA
"Axitinib + MK-2206",-0.0985780709425849,0.434508235294118,NA
"Axitinib + Navitoclax",0.237864964063196,0.217054901960784,NA
"Axitinib + Nilotinib",0.105947788109069,0.629653333333333,NA
"Axitinib + NU7441",-0.0669038067622923,0.601386666666667,NA
"Axitinib + Nutlin-3a (-)",0.0212090621015961,0.813839215686274,NA
"Axitinib + Olaparib",-0.123254440338866,0.298565490196078,NA
"Axitinib + OSI-027",-0.0983832352034501,0.473645490196078,NA
"Axitinib + Paclitaxel",-0.794877935274491,0.00553647058823529,NA
"Axitinib + Palbociclib",-0.0108493447923983,0.915040784313725,NA
"Axitinib + PD173074",-0.149523354976562,0.205282352941176,NA
"Axitinib + PF-4708671",-0.055233035551736,0.5762,NA
"Axitinib + Pictilisib",-0.164245094200342,0.258811764705882,NA
"Axitinib + Ribociclib",-0.0484320223903005,0.714641568627451,NA
"Axitinib + RO-3306",-0.153072321842968,0.293941960784314,NA
"Axitinib + Sapitinib",0.109945875289804,0.523033725490196,NA
"Axitinib + SB216763",0.0108408975087441,0.907022745098039,NA
"Axitinib + SCH772984",0.0900680060469185,0.597312156862745,NA
"Axitinib + Sorafenib",0.121190644233518,0.486287843137255,NA
"Axitinib + Taselisib",0.00403204577263408,0.971572549019608,NA
"Axitinib + Temozolomide",0.0175513582747826,0.865513725490196,NA
"Axitinib + Tozasertib",-0.128033950495687,0.400617254901961,NA
"Axitinib + Trametinib",-0.03521865372994,0.86705568627451,NA
"Axitinib + Uprosertib",0.0902290945018948,0.526893333333333,NA
"Axitinib + Venetoclax",-0.0112411809186587,0.905485490196078,NA
"Axitinib + Vorinostat",-0.0781381287082604,0.585628235294118,NA
"Axitinib + Wee1 Inhibitor",-0.084066867712295,0.602190588235294,NA
"Axitinib + ZM447439",-0.0528313628127906,0.743554509803922,NA
"AZD7762 + 5-Fluorouracil",0.38101675163659,0.0673607843137255,NA
"AZD7762 + Afatinib",0.0589216411546381,0.72082431372549,NA
"AZD7762 + Alisertib",-0.0256380614543632,0.862459607843137,NA
"AZD7762 + Alpelisib",0.00628156775980196,0.950316862745098,NA
"AZD7762 + Axitinib",-0.0704345422034448,0.571475294117647,NA
"AZD7762 + AZD6482",-0.0199622713487537,0.867862745098039,NA
"AZD7762 + AZD8055",-0.0421999395815838,0.721623529411765,NA
"AZD7762 + BI-2536",0.00199979473923964,0.989610196078431,NA
"AZD7762 + Bortezomib",-0.0752740203177828,0.756058039215686,NA
"AZD7762 + Camptothecin",0.784557348652374,0.010321568627451,"AZD7762 + Camptothecin"
"AZD7762 + Cisplatin",0.657423269960264,0.00473176470588235,"AZD7762 + Cisplatin"
"AZD7762 + Crizotinib",-0.0404109662500879,0.775367843137255,NA
"AZD7762 + Dabrafenib",0.0773933971133117,0.51438431372549,NA
"AZD7762 + Docetaxel",-0.148706706434691,0.269805490196078,NA
"AZD7762 + Doramapimod",0.0985197404532348,0.419439215686275,NA
"AZD7762 + Entinostat",-0.0274708687938983,0.811581960784314,NA
"AZD7762 + Gemcitabine",0.483554715968466,0.12215137254902,NA
"AZD7762 + GSK269962A",0.0198680949490505,0.892146666666667,NA
"AZD7762 + JQ1",-0.0178893189596724,0.892926274509804,NA
"AZD7762 + KU-55933",-0.0842808287527841,0.428939607843137,NA
"AZD7762 + Lapatinib",0.0474715469403979,0.76150431372549,NA
"AZD7762 + Linsitinib",0.0100723005616713,0.921301176470588,NA
"AZD7762 + Luminespib",-1.76849454747136e-06,1,NA
"AZD7762 + MK-1775",0.192863256739845,0.309508235294118,NA
"AZD7762 + MK-2206",-0.158407077221446,0.262777254901961,NA
"AZD7762 + Navitoclax",-0.0170350324960942,0.914194509803922,NA
"AZD7762 + Nilotinib",0.128467275038721,0.530811764705882,NA
"AZD7762 + NU7441",-0.102732927354598,0.444692549019608,NA
"AZD7762 + Nutlin-3a (-)",0.0629460085764211,0.480789019607843,NA
"AZD7762 + Olaparib",0.136120452047877,0.216236862745098,NA
"AZD7762 + OSI-027",0.00901549216765754,0.929146666666667,NA
"AZD7762 + Paclitaxel",-0.118520993079047,0.472061176470588,NA
"AZD7762 + Palbociclib",-0.0160373057309017,0.876506666666667,NA
"AZD7762 + PD173074",-0.025209734223232,0.827325490196078,NA
"AZD7762 + PF-4708671",-0.00631288320648489,0.945646274509804,NA
"AZD7762 + Pictilisib",-0.169629120846915,0.210072156862745,NA
"AZD7762 + Ribociclib",-0.0442218666308604,0.679083921568627,NA
"AZD7762 + RO-3306",-0.100761795344402,0.48311137254902,NA
"AZD7762 + Sapitinib",-0.0228115551406319,0.875709019607843,NA
