"","CID3586","CID3921","CID45171","CID3838","CID4066","CID44041","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3946","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID4040","CID3941","CID3948","CID4067","CID4290A","CID4398"
"RP11-34P13.7",1,3,7,12,2,1,0,6,7,16,5,6,4,1,3,2,1,15,20,11,14,1,0,10,9,0
"FO538757.3",2,19,0,0,9,0,0,15,11,13,6,0,0,0,0,0,3,27,0,0,0,0,0,9,8,0
"FO538757.2",484,758,328,422,452,198,75,977,915,631,819,365,192,39,592,71,790,1015,679,755,452,87,242,501,601,29
"AP006222.2",47,140,272,786,110,107,68,135,122,151,189,641,303,33,88,25,34,240,513,1038,526,16,31,112,118,73
"RP4-669L17.10",2,3,6,43,7,13,2,13,20,79,16,31,14,3,4,2,4,48,17,14,9,3,1,10,16,3
"RP5-857K21.4",3,7,2,7,23,0,1,27,17,45,19,0,0,0,9,1,6,37,1,2,2,5,2,15,20,0
"RP11-206L10.9",107,78,57,141,119,40,16,227,226,158,243,216,82,6,88,4,110,254,232,266,106,21,39,141,133,18
"LINC00115",61,146,52,84,88,15,12,155,130,217,190,79,51,4,58,4,52,93,132,93,76,7,13,102,75,2
"FAM41C",12,18,126,121,26,19,30,47,35,19,17,272,56,10,13,11,14,17,111,67,90,6,6,35,10,9
"RP11-54O7.3",1,10,2,2,19,0,0,2,3,15,0,0,0,0,0,3,3,46,9,1,6,1,0,3,43,0
"SAMD11",7,55,23,58,117,3,7,42,31,305,6,30,20,5,1,11,26,221,112,23,64,7,7,16,160,5
"NOC2L",633,1681,1679,1172,998,252,118,2476,3087,3261,1558,2267,1461,44,418,49,611,2209,1918,3046,623,90,162,602,1104,99
"KLHL17",29,74,21,92,43,4,0,83,53,88,66,74,19,2,36,3,10,62,76,70,80,5,17,48,57,3
"PLEKHN1",44,237,83,82,114,17,3,232,145,426,48,408,67,2,40,2,28,175,162,63,47,12,20,54,182,10
"PERM1",9,22,46,9,34,3,2,3,16,329,10,1,0,0,2,1,50,84,171,61,6,2,28,105,129,1
"RP11-54O7.17",14,49,37,321,66,5,4,71,44,242,464,50,55,12,53,4,13,201,103,41,128,2,16,18,24,6
"HES4",1254,2657,1324,4670,3193,30,183,706,4303,6826,2107,4198,3604,153,717,76,263,4173,9688,2908,3196,50,197,337,1028,28
"ISG15",4256,3367,1562,15026,6818,2104,352,27697,7286,3577,21071,23971,5174,582,14420,980,1144,5215,23602,15794,11436,169,5625,633,1029,598
"AGRN",145,1027,204,690,876,92,47,465,482,1579,948,945,582,58,316,17,196,1434,1288,463,692,47,151,844,749,14
"RP11-54O7.18",2,0,0,2,3,0,0,1,8,1,0,0,0,0,3,0,2,3,0,1,2,0,0,1,1,0
"RNF223",245,211,58,2,153,7,1,0,197,312,0,89,122,0,10,9,101,527,283,445,3,42,159,448,573,0
"C1orf159",85,422,192,139,209,20,19,283,437,714,284,119,71,1,109,13,83,414,299,325,86,11,37,158,220,4
"RP11-465B22.8",16,53,48,3,31,2,3,2,24,76,0,84,28,0,2,6,15,54,159,29,2,4,4,42,68,0
"TTLL10",8,11,12,9,14,6,0,23,36,16,8,107,0,1,46,0,3,152,78,27,28,3,1,7,10,3
"TNFRSF18",1088,1366,474,3394,1459,22,21,1965,3939,974,1155,308,627,20,2050,42,46,615,753,255,1456,94,712,481,1576,100
"TNFRSF4",1963,1476,274,3427,1552,248,72,4880,4222,671,1327,256,95,12,1485,46,53,1137,1093,529,1456,51,451,245,265,110
"SDF4",1650,3864,1506,4135,3490,149,129,6778,6879,11062,9968,4291,1778,92,1769,50,1205,9046,6117,4134,1846,160,511,1577,2371,81
"B3GALT6",48,186,86,727,143,34,7,193,183,295,293,137,74,25,72,4,37,351,258,109,304,7,12,158,112,29
"FAM132A",11,17,18,18,62,4,9,48,92,74,9,72,1,1,4,4,14,129,75,39,21,2,2,8,21,1
"RP5-902P8.12",1,2,4,2,2,1,0,3,5,1,6,1,1,0,1,0,0,4,3,2,2,0,2,2,0,0
"UBE2J2",525,1514,1034,1084,1121,84,124,2681,2750,4438,2279,1571,1216,34,542,46,460,2260,2473,1785,741,59,167,476,686,25
"SCNN1D",13,5,6,24,23,2,2,8,18,43,13,21,12,2,7,2,9,45,55,29,14,2,8,45,87,2
"ACAP3",129,327,325,450,318,44,27,333,290,680,381,253,215,17,98,7,48,565,506,329,258,19,40,132,235,15
"PUSL1",238,641,406,393,474,45,32,896,808,1331,681,568,624,17,224,9,152,594,744,739,211,36,110,279,378,9
"CPSF3L",592,1727,972,1188,1055,300,63,2463,3630,3655,2013,891,833,51,541,38,906,3382,2404,2579,923,73,258,506,880,67
"CPTP",147,1153,853,378,450,69,40,1382,1072,2782,972,553,508,14,181,7,165,1342,953,879,211,18,55,214,233,10
"TAS1R3",2,79,123,7,3,2,1,50,1,46,1,11,17,0,0,0,1,11,14,6,9,1,7,49,19,2
"DVL1",69,437,191,317,297,36,14,295,268,691,375,254,180,21,75,7,77,628,465,200,274,27,46,197,234,17
"MXRA8",360,1043,309,5266,6498,258,381,1017,3192,998,313,620,124,125,77,159,270,7317,2274,601,2148,28,76,610,1095,98
"AURKAIP1",1806,6070,5481,4284,5258,776,524,10719,9824,19366,10631,7914,7490,123,2126,384,2803,8078,12176,12602,2515,287,985,2516,6187,109
"CCNL2",750,1432,811,1686,995,152,158,1126,1555,2411,1578,1467,558,59,499,84,307,2391,2141,1698,1172,85,212,801,944,74
"MRPL20",1498,4252,4337,3698,4495,966,302,7951,8084,12764,7966,5309,5014,102,1717,165,1652,7216,10689,10485,2503,249,1061,3283,3854,614
"RP4-758J18.13",6,17,14,16,20,1,2,14,16,50,15,16,7,0,9,2,6,20,9,16,12,1,4,15,11,0
