"","CID3921","CID45171","CID4066","CID4465","CID4495","CID44971","CID44991","CID4513","CID4515","CID4523","CID3963","CID4461","CID4463","CID4471","CID4530N","CID4535","CID3941","CID3948","CID4067","CID4290A"
"RP11-34P13.7",3,7,1,0,2,4,12,3,6,3,0,1,1,2,10,9,1,0,10,9
"FO538757.3",13,0,8,0,3,3,11,4,0,0,0,0,2,2,0,0,0,0,9,6
"FO538757.2",501,277,149,25,161,287,518,170,316,175,92,48,699,33,328,632,37,69,393,516
"AP006222.2",81,212,29,8,36,36,128,96,525,267,21,16,21,8,169,841,11,17,79,105
"RP4-669L17.10",2,3,3,0,2,4,78,13,26,13,1,2,4,4,10,10,2,1,10,15
"RP5-857K21.4",2,1,9,0,9,8,40,10,0,0,5,0,5,5,1,2,4,0,11,19
"RP11-206L10.9",42,39,41,7,99,127,137,90,194,73,20,1,101,20,137,219,11,22,121,112
"LINC00115",106,44,37,6,47,43,189,61,59,40,17,3,43,1,76,78,1,1,88,60
"FAM41C",16,105,13,15,29,14,18,8,254,52,1,7,11,1,65,50,4,1,29,9
"RP11-54O7.3",9,1,15,0,0,0,15,0,0,0,0,2,2,0,0,1,1,0,3,43
"SAMD11",43,21,82,1,0,0,288,5,13,20,0,8,25,3,5,9,6,0,12,145
"NOC2L",1403,1527,625,61,1397,1479,2956,998,1877,1363,150,33,531,138,913,2758,59,95,550,1018
"KLHL17",52,18,21,0,54,20,80,28,68,19,14,3,7,6,44,62,2,10,31,52
"PLEKHN1",211,65,75,1,109,35,366,23,385,57,18,2,21,23,86,53,10,11,54,177
"PERM1",22,46,17,1,2,3,328,7,1,0,0,1,46,9,129,57,2,27,103,129
"RP11-54O7.17",17,35,11,1,0,15,232,40,21,52,6,1,6,20,21,14,0,5,11,16
"HES4",2268,1263,882,57,4,2904,6644,790,3305,3414,185,48,176,463,4986,1738,21,167,284,844
"ISG15",1214,326,722,7,653,481,2434,2614,3616,4337,5548,627,830,59,17804,9629,20,2633,220,390
"AGRN",849,194,321,23,146,142,1520,581,814,543,152,10,173,94,558,340,19,66,755,571
"RP11-54O7.18",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"RNF223",211,58,61,1,0,6,303,0,80,120,10,8,87,115,170,435,42,159,448,571
"C1orf159",355,179,99,11,140,242,687,152,97,68,47,9,73,20,172,299,7,15,136,200
"RP11-465B22.8",53,47,28,2,2,13,74,0,82,28,2,6,15,13,132,27,4,4,42,67
"TTLL10",2,5,3,0,1,4,14,0,104,0,0,0,1,5,33,8,2,0,2,10
"TNFRSF18",141,166,433,0,23,57,507,10,61,179,20,23,23,137,607,103,51,322,305,1449
"TNFRSF4",2,6,9,2,42,86,47,7,18,1,20,9,1,2,21,56,0,12,5,7
"SDF4",2295,1219,867,38,1292,1658,8871,5106,3366,1616,360,27,907,408,3033,3242,69,235,1210,1837
"B3GALT6",134,69,75,2,58,80,260,80,101,65,23,2,26,22,102,84,5,7,147,95
"FAM132A",6,13,12,1,5,13,71,1,66,0,2,1,0,0,8,11,2,0,4,11
"RP5-902P8.12",0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,0,0
