T1	T2
TSPAN6	193.246591882755	193.246591882755
DPM1	875.583264340935	875.583264340935
SCYL3	40.074144116331	40.074144116331
C1orf112	24.3647100318302	24.3647100318302
FUCA2	447.150988831314	447.150988831314
GCLC	138.016597575884	138.016597575884
NFYA	66.7166792588876	66.7166792588876
STPG1	49.5165043104188	49.5165043104188
NIPAL3	159.390905507176	159.390905507176
LAS1L	453.937913638743	453.937913638743
SEMA3F	13.1542936414733	13.1542936414733
ANKIB1	301.376372534668	301.376372534668
CYP51A1	81.1454841714915	81.1454841714915
KRIT1	333.209489707713	333.209489707713
RAD52	43.2256346377148	43.2256346377148
BAD	254.030213190944	254.030213190944
LAP3	421.886554965927	421.886554965927
MAD1L1	139.756460091038	139.756460091038
LASP1	327.002631466486	327.002631466486
SNX11	50.0212941668726	50.0212941668726
M6PR	483.362767498872	483.362767498872
DBNDD1	72.30938519376	72.30938519376
ALS2	65.3128556036365	65.3128556036365
CFLAR	281.964638781036	281.964638781036
NDUFAF7	108.353836799724	108.353836799724
RBM5	324.975004756347	324.975004756347
MTMR7	5.44922556025652	5.44922556025652
ARF5	44.2838321050325	44.2838321050325
POLDIP2	387.550280821405	387.550280821405
PLXND1	46.1008851194763	46.1008851194763
AK2	942.212566175394	942.212566175394
FKBP4	353.434698455583	353.434698455583
KDM1A	259.636660725481	259.636660725481
RBM6	430.689849725782	430.689849725782
CAMKK1	12.1833014079513	12.1833014079513
RECQL	323.953725904917	323.953725904917
VPS50	111.654221166613	111.654221166613
ARHGAP33	15.3200265345877	15.3200265345877
NDUFAB1	1478.90716616756	1478.90716616756
ZMYND10	3.7891195371691	3.7891195371691
SLC25A13	245.517719275967	245.517719275967
ST7	77.6121781042385	77.6121781042385
CDC27	323.373976314795	323.373976314795
HCCS	260.702529445117	260.702529445117
DVL2	99.118137963576	99.118137963576
UPF1	70.6146255559897	70.6146255559897
SKAP2	367.739720738062	367.739720738062
SLC25A5	2314.46935834115	2314.46935834115
MCUB	388.659527418373	388.659527418373
POLR2J	869.776632666781	869.776632666781
DHX33	135.134881571109	135.134881571109
LIG3	94.9971849154166	94.9971849154166
RPAP3	340.918567901225	340.918567901225
REXO5	37.630584684652	37.630584684652
CIAPIN1	275.313346576247	275.313346576247
SPPL2B	91.792211345568	91.792211345568
FAM214B	33.4503735096654	33.4503735096654
MSL3	287.902396046607	287.902396046607
CREBBP	235.807185286905	235.807185286905
GCFC2	243.067380572688	243.067380572688
WDR54	285.278887221676	285.278887221676
KMT2E	772.015606058297	772.015606058297
RHBDD2	200.999772008987	200.999772008987
IBTK	450.950222841472	450.950222841472
ZNF195	156.928204012836	156.928204012836
MYCBP2	200.942177490901	200.942177490901
FBXL3	82.4876208295297	82.4876208295297
ITGA3	173.226868454434	173.226868454434
ZFX	146.604905471126	146.604905471126
LAMP2	803.269336607007	803.269336607007
GDE1	450.582132703465	450.582132703465
REX1BD	664.932406921688	664.932406921688
OSBPL7	26.8323868986304	26.8323868986304
MAP3K14	7.47669161852661	7.47669161852661
TMEM132A	30.2077976245812	30.2077976245812
AP2B1	359.141403877127	359.141403877127
ZNF263	36.939613747165	36.939613747165
SPATA20	159.384678595345	159.384678595345
TNFRSF12A	864.222063680655	864.222063680655
MAP3K9	53.860057909801	53.860057909801
RALA	747.794665698805	747.794665698805
BAIAP2L1	573.045736319832	573.045736319832
KDM7A	61.8001024167436	61.8001024167436
AGK	110.241702486857	110.241702486857
ALDH3B1	58.8036597320233	58.8036597320233
PHTF2	207.462281444875	207.462281444875
FARP2	68.3459333014972	68.3459333014972
GGCT	1192.64181252149	1192.64181252149
DBF4	422.769655642149	422.769655642149
IFRD1	493.197797658857	493.197797658857
COX10	67.0556689601704	67.0556689601704
GTF2IRD1	127.12914319238	127.12914319238
PAF1	395.146350607069	395.146350607069
VPS41	313.484407202559	313.484407202559
ARHGAP44	17.2629180343712	17.2629180343712
ELAC2	230.642565901749	230.642565901749
PNPLA4	148.063400394103	148.063400394103
ADIPOR2	280.580863013911	280.580863013911
CDKL3	12.8934667120433	12.8934667120433
MARK4	43.1739582769136	43.1739582769136
CCDC124	311.933737446611	311.933737446611
PAFAH1B1	774.368813353988	774.368813353988
KIAA0100	130.706198708719	130.706198708719
TRAPPC6A	330.915206492727	330.915206492727
ST7L	117.240269888225	117.240269888225
RPUSD1	98.4761963594927	98.4761963594927
RHBDF1	59.339906594031	59.339906594031
LUC7L	378.174670434152	378.174670434152
TSR3	49.5549374339135	49.5549374339135
PIGQ	83.2140248759898	83.2140248759898
CRAMP1	76.2260009374812	76.2260009374812
TEAD3	69.9859783554224	69.9859783554224
DNAJC11	95.9084966658102	95.9084966658102
MYLIP	112.187343000089	112.187343000089
E2F2	43.0207340066454	43.0207340066454
PSMB1	1639.77492417967	1639.77492417967
JARID2	197.02431747659	197.02431747659
CDKL5	19.0762820706395	19.0762820706395
NADK	46.6394310928909	46.6394310928909
CYTH3	61.0675272451068	61.0675272451068
SYPL1	793.020348861418	793.020348861418
CYB561	454.304939376017	454.304939376017
SPAG9	482.967822715252	482.967822715252
CELSR3	8.67484615910076	8.67484615910076
AASS	10.466702451455	10.466702451455
SS18L2	346.600591045776	346.600591045776
MPND	14.5699052505188	14.5699052505188
MGST1	2066.39061106243	2066.39061106243
CRY1	92.0087720181867	92.0087720181867
NFIX	255.831003093037	255.831003093037
PKD1	11.1922924322611	11.1922924322611
MAPK8IP2	13.3524278140003	13.3524278140003
MED24	156.878244375924	156.878244375924
HEATR5B	54.0139208825626	54.0139208825626
SEC62	1234.81265589085	1234.81265589085
RPS20	3218.38223093852	3218.38223093852
CSDE1	1466.78748688465	1466.78748688465
UBE3C	171.465726856947	171.465726856947
REV3L	234.734670111934	234.734670111934
FAM76A	127.051799916999	127.051799916999
POMT2	28.1230281696321	28.1230281696321
VTA1	342.279447846325	342.279447846325
BAZ1B	1178.92368515024	1178.92368515024
RANBP9	187.572222713467	187.572222713467
SPRTN	179.757155772443	179.757155772443
METTL13	210.866419181446	210.866419181446
DYRK4	159.884482863616	159.884482863616
ZNF207	576.164380412837	576.164380412837
UQCRC1	835.586056623639	835.586056623639
STARD3NL	324.313584384243	324.313584384243
CD9	1394.02436527435	1394.02436527435
NCAPD2	241.442160024358	241.442160024358
GIPR	11.146559572606	11.146559572606
PHF7	63.8586005262556	63.8586005262556
NISCH	79.788737877933	79.788737877933
FUZ	5.99884689423425	5.99884689423425
IDS	222.644165355324	222.644165355324
ZNF200	97.5315777475733	97.5315777475733
LRRC23	54.4055940903071	54.4055940903071
SCMH1	79.3023242322082	79.3023242322082
HIVEP2	55.1731979193278	55.1731979193278
ELOA	492.214419913628	492.214419913628
LYPLA2	209.108636517313	209.108636517313
CLCN6	16.9264860017184	16.9264860017184
TSPAN9	127.223459753362	127.223459753362
BTBD7	193.803441184795	193.803441184795
APBA3	48.7030672477463	48.7030672477463
MKS1	47.9851642153511	47.9851642153511
ABHD5	191.402014104062	191.402014104062
AKAP8L	263.908234235578	263.908234235578
MBTD1	91.587537012298	91.587537012298
UTP18	464.378042162139	464.378042162139
RNF216	348.144263248564	348.144263248564
TTC19	244.883743486373	244.883743486373
PTBP1	368.265665338274	368.265665338274
DPF1	9.90324857586833	9.90324857586833
LARS2	38.6165319013613	38.6165319013613
PIK3C2A	191.502458501187	191.502458501187
PLAUR	315.90424822617	315.90424822617
ANLN	525.334467743213	525.334467743213
WIZ	50.7380627118675	50.7380627118675
RABGAP1	357.181067850476	357.181067850476
QPCTL	28.2199863544748	28.2199863544748
PPP5C	22.2843808911842	22.2843808911842
CEP68	78.5322823544308	78.5322823544308
MAP4K3	111.848739461728	111.848739461728
BRCA1	279.568672070528	279.568672070528
ERCC1	221.295527399511	221.295527399511
SEMA3B	49.2382901436668	49.2382901436668
MBTPS2	138.086296942818	138.086296942818
PRICKLE3	7.62546706865905	7.62546706865905
EXTL3	26.682912430834	26.682912430834
ELOVL5	513.960637835293	513.960637835293
CALCOCO1	48.7857780194938	48.7857780194938
UBR7	183.233374208441	183.233374208441
MAP4K5	287.556076044957	287.556076044957
PSMC4	661.411045795644	661.411045795644
MAN2B2	81.9048496636471	81.9048496636471
SLC25A39	730.233955757886	730.233955757886
MVP	171.467516885197	171.467516885197
NUB1	587.689008767024	587.689008767024
PGM3	271.576627059868	271.576627059868
RWDD2A	62.0376632816346	62.0376632816346
CLK1	198.940692575658	198.940692575658
POLR3B	66.5992829407779	66.5992829407779
ANGEL1	19.6369372037163	19.6369372037163
RNF14	194.429137758039	194.429137758039
DNASE1L1	25.8632469095413	25.8632469095413
DDX11	123.468270011425	123.468270011425
HEBP1	422.931947125736	422.931947125736
GPRC5A	312.257364498457	312.257364498457
TACC3	300.429744460486	300.429744460486
UFL1	569.130221599284	569.130221599284
POLA2	100.961210952192	100.961210952192
ZC3H3	46.8446097730336	46.8446097730336
CAPN1	342.605959795331	342.605959795331
MDH1	1136.12421965716	1136.12421965716
SLC30A9	418.233943354584	418.233943354584
MTMR11	32.1457800751676	32.1457800751676
COX15	237.303093645161	237.303093645161
CCDC88C	97.4012802450378	97.4012802450378
YAF2	235.240151527656	235.240151527656
ZMYND11	385.112161006664	385.112161006664
BID	620.550080937866	620.550080937866
MATR3	24.1918949150713	24.1918949150713
XYLT2	61.5279938221768	61.5279938221768
NUDCD3	210.934625925055	210.934625925055
CHDH	69.7965651667418	69.7965651667418
GLT8D1	159.205877532554	159.205877532554
ATP2C1	252.123867922738	252.123867922738
RALBP1	738.295756620638	738.295756620638
RUFY3	130.197881605763	130.197881605763
SLC11A1	4.56617853241562	4.56617853241562
WWTR1	306.954115465098	306.954115465098
STEEP1	125.387457859293	125.387457859293
TTC27	114.763425009947	114.763425009947
PHLDB1	17.0113420809952	17.0113420809952
ZRANB1	59.9798837702942	59.9798837702942
NCDN	90.9879426703122	90.9879426703122
ZFP64	81.5657735046451	81.5657735046451
MNAT1	499.459757505531	499.459757505531
SAMD4A	61.1947384158765	61.1947384158765
MRE11	297.144190265958	297.144190265958
SERPINB1	408.593618091457	408.593618091457
SPAST	109.378715508474	109.378715508474
OSBPL5	26.4155100519434	26.4155100519434
AQR	243.902493032221	243.902493032221
RTF2	933.641269124301	933.641269124301
SLC45A4	32.7316231496607	32.7316231496607
RNF10	383.989158061788	383.989158061788
ZNF839	26.5049827815626	26.5049827815626
ZDHHC6	207.673959787772	207.673959787772
RNH1	456.78305727198	456.78305727198
