Var1	Freq
1	AU565	0.027
2	BT20	0.019
3	BT474	0.07
4	BT483	0.016
5	BT549	0.056
6	CAL51	0.034
7	CAL851	0.035
8	CAMA1	0.021
9	DU4475	0.008
10	EFM19	0.037
11	EVSAT	0.018
12	HCC1143	0.024
13	HCC1187	0.033
14	HCC1500	0.013
15	HCC1937	0.033
16	HCC1954	0.05
17	HCC38	0.02
18	HCC70	0.081
19	HDQP1	0.001
20	HS578T	0.022
21	JIMT1	0.012
22	KPL1	0.031
23	MCF12A	0.053
24	MCF7	0.024
25	MDAMB361	0.028
26	MDAMB415	0.021
27	MDAMB436	0.085
28	MDAMB453	0.033
29	MDAMB468	0.038
30	MX1	0.011
31	T47D	0.016
32	ZR751	0.03
